City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Jodhpur,Very Poor,325,"PM
10",1,2015-12-04
Jodhpur,Poor,278,"PM
10",1,2015-12-05
Jodhpur,Poor,257,"PM
10",1,2015-12-08
Jodhpur,Very Poor,345,"PM
10",1,2015-12-09
Jodhpur,Poor,262,"PM
10",1,2015-12-10
Jodhpur,Poor,296,"PM
2.5",1,2015-12-11
Jodhpur,Poor,248,"PM
10",1,2015-12-12
Jodhpur,Poor,247,"PM
10",1,2015-12-13
Jodhpur,Poor,223,"PM
10",1,2015-12-14
Jodhpur,Poor,286,"PM
10",1,2015-12-15
Jodhpur,Poor,203,"PM
10",1,2015-12-16
Jodhpur,Poor,284,"PM
10",1,2015-12-17
Jodhpur,Poor,270,"PM
2.5",1,2015-12-18
Jodhpur,Very Poor,313,"PM
2.5",1,2015-12-19
Jodhpur,Very Poor,340,"PM
2.5",1,2015-12-20
Jodhpur,Poor,231,"PM
10",1,2015-12-21
Jodhpur,Very Poor,325,"PM
10",1,2015-12-22
Jodhpur,Very Poor,347,"PM
2.5",1,2015-12-23
Jodhpur,Very Poor,367,"PM
2.5",1,2015-12-24
Jodhpur,Poor,260,"PM
2.5",1,2015-12-25
Jodhpur,Poor,241,"PM
2.5",1,2015-12-26
Jodhpur,Very Poor,374,"PM
10",1,2015-12-27
Jodhpur,Very Poor,312,"PM
2.5",1,2015-12-28
Jodhpur,Poor,298,"PM
2.5",1#,2015-12-29
Jodhpur,Very Poor,358,"PM
2.5",1,2015-12-30
Jodhpur,Very Poor,346,"PM
2.5",1,2015-12-31
Jodhpur,Very Poor,355,"PM
2.5",1,2016-01-01
Jodhpur,Very Poor,357,"PM
2.5",1,2016-01-02
Jodhpur,Poor,258,"PM
2.5",1,2016-01-09
Jodhpur,Very Poor,349,"PM
10",1,2016-01-10
Jodhpur,Very Poor,367,"PM
10",1,2016-01-11
Jodhpur,Poor,254,"PM
2.5",1,2016-01-12
Jodhpur,Poor,230,"PM
2.5",1,2016-01-13
Jodhpur,Poor,294,"PM
2.5",1,2016-01-14
Jodhpur,Poor,220,"PM
2.5",1,2016-01-15
Jodhpur,Poor,250,"PM
2.5",1,2016-01-16
Jodhpur,Poor,256,"PM
2.5",1,2016-01-17
Jodhpur,Very Poor,306,"PM
2.5",1,2016-01-18
Jodhpur,Poor,279,"PM
2.5",1,2016-01-19
Jodhpur,Poor,256,"PM
2.5",1,2016-01-20
Jodhpur,Moderate,185,"PM
2.5",1,2016-01-21
Jodhpur,Very Poor,316,"PM
10",1,2016-01-22
Jodhpur,Very Poor,313,"PM
10",1,2016-01-23
Jodhpur,Poor,205,"PM
10",1,2016-01-24
Jodhpur,Moderate,147,"PM
10",1,2016-01-25
Jodhpur,Very Poor,349,"PM
10",1,2016-01-26
Jodhpur,Moderate,165,"PM
10",1,2016-01-27
Jodhpur,Poor,278,"PM
2.5",1,2016-01-28
Jodhpur,Very Poor,319,"PM
2.5",1,2016-01-29
Jodhpur,Moderate,157,"PM
10",1,2016-01-30
Jodhpur,Poor,264,"PM
2.5",1,2016-01-31
Jodhpur,Moderate,136,"PM
10",1,2016-02-01
Jodhpur,Moderate,149,"PM
10",1,2016-02-02
Jodhpur,Moderate,154,"PM
10",1,2016-02-03
Jodhpur,Moderate,191,"PM
10",1,2016-02-04
Jodhpur,Moderate,172,"PM
10",1,2016-02-05
Jodhpur,Moderate,180,"PM
10",1,2016-02-06
Jodhpur,Moderate,138,"PM
10",1,2016-02-07
Jodhpur,Moderate,141,"PM
10",1,2016-02-08
Jodhpur,Moderate,179,"PM
2.5",1,2016-02-09
Jodhpur,Poor,258,"PM
2.5",1,2016-02-10
Jodhpur,Very Poor,333,"PM
10",1,2016-02-12
Jodhpur,Poor,253,"PM
10",1,2016-02-13
Jodhpur,Poor,204,"PM
2.5",1,2016-02-14
Jodhpur,Moderate,151,"PM
2.5",1,2016-02-15
Jodhpur,Moderate,165,"PM
2.5",1,2016-02-16
Jodhpur,Moderate,178,"PM
10",1,2016-02-17
Jodhpur,Moderate,167,"PM
2.5",1,2016-02-18
Jodhpur,Moderate,181,"PM
2.5",1,2016-02-19
Jodhpur,Moderate,172,"PM
2.5",1,2016-02-20
Jodhpur,Moderate,114,"PM
10",1,2016-02-21
Jodhpur,Moderate,120,"PM
10",1,2016-02-22
Jodhpur,Moderate,176,"PM
10",1,2016-02-23
Jodhpur,Moderate,176,"PM
2.5",1,2016-02-24
Jodhpur,Poor,212,"PM
10",1,2016-02-25
Jodhpur,Moderate,193,"PM
2.5",1,2016-02-26
Jodhpur,Poor,225,"PM
2.5",1,2016-02-27
Jodhpur,Poor,258,"PM
2.5",1,2016-02-28
Jodhpur,Poor,242,"PM
2.5",1,2016-02-29
Jodhpur,Poor,243,"PM
2.5",1,2016-03-01
Jodhpur,Moderate,169,"PM
10",1,2016-03-02
Jodhpur,Moderate,173,"PM
2.5",1,2016-03-03
Jodhpur,Moderate,173,"PM
2.5",1#,2016-03-04
Jodhpur,Moderate,146,"PM
10",1,2016-03-05
Jodhpur,Moderate,147,"PM
10",1,2016-03-06
Jodhpur,Moderate,121,"PM
10",1,2016-03-07
Jodhpur,Moderate,144,"PM
10",1,2016-03-09
Jodhpur,Poor,216,"PM
2.5",1,2016-03-10
Jodhpur,Moderate,142,"PM
10",1,2016-03-11
Jodhpur,Moderate,135,"PM
10",1,2016-03-13
Jodhpur,Poor,231,"PM
10",1,2016-03-14
Jodhpur,Moderate,118,"PM
10",1,2016-03-15
Jodhpur,Moderate,127,"PM
10",1,2016-03-16
Jodhpur,Poor,238,"PM
2.5",1,2016-03-17
Jodhpur,Moderate,196,"PM
2.5",1,2016-03-18
Jodhpur,Moderate,193,"PM
2.5",1,2016-03-19
Jodhpur,Poor,239,"PM
2.5",1,2016-03-20
Jodhpur,Poor,224,"PM
2.5",1,2016-03-21
Jodhpur,Moderate,115,"PM
10",1,2016-03-22
Jodhpur,Moderate,175,"PM
2.5",1,2016-03-23
Jodhpur,Moderate,188,"PM
2.5",1,2016-03-24
Jodhpur,Moderate,142,"PM
2.5",1,2016-03-25
Jodhpur,Poor,226,"PM
2.5",1,2016-03-26
Jodhpur,Moderate,113,"PM
2.5",1,2016-03-27
Jodhpur,Satisfactory,92,"PM
10",1,2016-03-28
Jodhpur,Moderate,121,"PM
10",1,2016-03-29
Jodhpur,Poor,250,"PM
10",1,2016-03-30
