City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Hanumangarh,Moderate,165,"PM
10",1,2023-03-13
Hanumangarh,Poor,219,"PM
10",1,2023-03-16
Hanumangarh,Moderate,193,"PM
10",1,2023-03-17
Hanumangarh,Satisfactory,87,"PM
10",1,2023-03-18
Hanumangarh,Moderate,102,"PM
10",1,2023-03-19
Hanumangarh,Moderate,148,"PM
10",1,2023-03-20
Hanumangarh,Satisfactory,74,"PM
10",1,2023-03-21
Hanumangarh,Moderate,120,"PM
10",1,2023-03-22
Hanumangarh,Moderate,120,"PM
10",1,2023-03-23
Hanumangarh,Satisfactory,92,"PM
10",1,2023-03-24
Hanumangarh,Moderate,180,"PM
2.5",1,2023-03-26
Hanumangarh,Moderate,196,"PM
2.5",1,2023-03-27
Hanumangarh,Moderate,132,"PM
2.5",1,2023-03-28
Hanumangarh,Moderate,137,"PM
2.5",1,2023-03-29
Hanumangarh,Satisfactory,91,"PM
10",1,2023-03-30
Hanumangarh,Satisfactory,86,"PM
2.5",1,2023-03-31
Hanumangarh,Satisfactory,88,"PM
2.5",1,2023-04-01
Hanumangarh,Satisfactory,100,"PM
2.5",1,2023-04-02
Hanumangarh,Satisfactory,94,"PM
10",1,2023-04-03
Hanumangarh,Satisfactory,68,"PM
10",1,2023-04-04
Hanumangarh,Moderate,103,"PM
10",1,2023-04-05
Hanumangarh,Satisfactory,71,"PM
10",1,2023-04-06
Hanumangarh,Moderate,115,"PM
10",1,2023-04-07
Hanumangarh,Moderate,184,"PM
10",1,2023-04-08
Hanumangarh,Moderate,126,"PM
10",1,2023-04-09
Hanumangarh,Moderate,120,"PM
10",1,2023-04-10
Hanumangarh,Moderate,134,"PM
10",1,2023-04-11
Hanumangarh,Moderate,151,"PM
10",1,2023-04-12
Hanumangarh,Poor,208,"PM
10",1,2023-04-13
Hanumangarh,Moderate,147,"PM
2.5",1,2023-04-14
Hanumangarh,Poor,257,"PM
10",1,2023-04-15
Hanumangarh,Moderate,187,"PM
10",1,2023-04-16
Hanumangarh,Moderate,112,"PM
2.5",1,2023-04-17
Hanumangarh,Poor,207,"PM
10",1,2023-04-18
Hanumangarh,Moderate,111,"PM
10",1,2023-04-19
Hanumangarh,Moderate,124,"PM
2.5",1,2023-04-20
Hanumangarh,Moderate,117,"PM
10",1,2023-04-21
Hanumangarh,Moderate,142,"PM
10",1,2023-04-22
Hanumangarh,Moderate,119,"PM
10",1,2023-04-23
Hanumangarh,Moderate,163,"PM
10",1,2023-04-24
Hanumangarh,Moderate,148,"PM
10",1,2023-04-25
Hanumangarh,Moderate,175,"PM
10",1,2023-04-26
Hanumangarh,Moderate,181,"PM
10",1,2023-04-27
Hanumangarh,Moderate,149,"PM
10",1,2023-04-28
Hanumangarh,Moderate,129,"PM
10",1,2023-04-29
Hanumangarh,Moderate,137,"PM
10",1,2023-04-30
Hanumangarh,Moderate,192,"PM
2.5",1,2023-05-01
Hanumangarh,Moderate,147,"PM
10",1,2023-05-05
Hanumangarh,Moderate,117,"PM
10",1,2023-05-06
Hanumangarh,Poor,225,"PM
10",1,2023-05-07
Hanumangarh,Poor,206,"PM
10",1,2023-05-08
Hanumangarh,Moderate,161,"PM
10",1,2023-05-09
Hanumangarh,Moderate,163,"PM
10",1,2023-05-10
Hanumangarh,Poor,209,"PM
2.5",1,2023-05-12
Hanumangarh,Poor,235,"PM
10",1,2023-05-13
Hanumangarh,Poor,283,"PM
10",1,2023-05-14
Hanumangarh,Poor,204,"PM
10",1,2023-05-15
Hanumangarh,Very Poor,303,"PM
10",1,2023-05-16
Hanumangarh,Poor,201,"PM
10",1,2023-05-17
Hanumangarh,Moderate,190,"PM
10",1,2023-05-20
