City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Banswara,Moderate,115,"PM
10",1,2023-03-15
Banswara,Moderate,111,"O
3",1,2023-03-16
Banswara,Moderate,110,"O
3",1,2023-03-17
Banswara,Moderate,104,"O
3",1,2023-03-18
Banswara,Satisfactory,91,"O
3",1,2023-03-19
Banswara,Satisfactory,98,"PM
10",1,2023-03-22
Banswara,Moderate,114,"PM
10",1,2023-03-23
Banswara,Satisfactory,94,"PM
10",1,2023-03-24
Banswara,Moderate,175,"O
3",1,2023-03-28
Banswara,Moderate,170,"O
3",1,2023-03-29
Banswara,Moderate,158,"PM
10",1,2023-03-30
Banswara,Moderate,103,"PM
10",1,2023-03-31
Banswara,Moderate,117,"PM
10",1,2023-04-01
Banswara,Moderate,120,"PM
10",1,2023-04-02
Banswara,Moderate,124,"PM
10",1,2023-04-03
Banswara,Moderate,133,"PM
10",1,2023-04-04
Banswara,Moderate,142,"PM
10",1,2023-04-05
Banswara,Moderate,156,"PM
10",1,2023-04-06
Banswara,Moderate,154,"PM
10",1,2023-04-07
Banswara,Moderate,128,"O
3",1,2023-04-08
Banswara,Moderate,123,"PM
10",1,2023-04-09
Banswara,Moderate,155,"O
3",1,2023-04-10
Banswara,Moderate,166,"O
3",1,2023-04-11
Banswara,Moderate,149,"PM
10",1,2023-04-12
Banswara,Moderate,128,"PM
10",1,2023-04-13
Banswara,Poor,206,"O
3",1,2023-04-14
Banswara,Moderate,151,"PM
10",1,2023-04-15
Banswara,Moderate,119,"PM
10",1,2023-04-16
Banswara,Moderate,117,CO,1,2023-04-17
Banswara,Moderate,132,"PM
10",1,2023-04-18
Banswara,Moderate,129,"PM
10",1,2023-04-19
Banswara,Moderate,141,"PM
10",1,2023-04-20
Banswara,Moderate,127,"PM
10",1,2023-04-21
Banswara,Moderate,127,"PM
10",1,2023-04-22
Banswara,Moderate,101,"PM
10",1,2023-04-23
Banswara,Moderate,120,"O
3",1,2023-04-24
Banswara,Moderate,192,"O
3",1,2023-04-25
Banswara,Moderate,197,"O
3",1,2023-04-26
Banswara,Moderate,124,"O
3",1,2023-04-27
Banswara,Satisfactory,65,CO,1,2023-04-29
Banswara,Satisfactory,88,"O
3",1,2023-04-30
Banswara,Satisfactory,82,"O
3",1,2023-05-01
Banswara,Satisfactory,82,"O
3",1,2023-05-02
Banswara,Satisfactory,88,"O
3",1,2023-05-03
Banswara,Moderate,115,"O
3",1,2023-05-04
Banswara,Moderate,166,"O
3",1,2023-05-05
Banswara,Satisfactory,91,"O
3",1,2023-05-06
Banswara,Satisfactory,81,"PM
10",1,2023-05-07
Banswara,Moderate,110,"PM
10",1,2023-05-08
Banswara,Moderate,106,"PM
10",1,2023-05-09
Banswara,Moderate,116,"PM
10",1,2023-05-10
Banswara,Moderate,182,"O
3",1,2023-05-11
Banswara,Moderate,128,"PM
10",1,2023-05-12
Banswara,Moderate,116,"PM
10",1,2023-05-13
Banswara,Moderate,102,"PM
10",1,2023-05-14
Banswara,Moderate,106,"PM
10",1,2023-05-15
Banswara,Moderate,102,"PM
10",1,2023-05-16
Banswara,Moderate,116,"PM
10",1,2023-05-17
Banswara,Satisfactory,98,"PM
10",1,2023-05-18
Banswara,Moderate,103,"PM
10",1,2023-05-19
Banswara,Moderate,113,"PM
10",1,2023-05-20
Banswara,Moderate,112,"PM
10",1,2023-05-21
Banswara,Satisfactory,100,"PM
10",1,2023-05-22
Banswara,Moderate,104,"PM
10",1,2023-05-23
Banswara,Moderate,106,"PM
10",1,2023-05-24
Banswara,Moderate,117,"PM
10",1,2023-05-26
Banswara,Satisfactory,97,"PM
10",1,2023-05-27
Banswara,Satisfactory,97,"PM
10",1,2023-05-28
Banswara,Moderate,103,"PM
10",1,2023-05-29
Banswara,Moderate,108,"O
3",1,2023-05-30
Banswara,Moderate,179,CO,1,2023-06-03
Banswara,Satisfactory,80,"O
3",1,2023-06-04
Banswara,Satisfactory,96,CO,1,2023-06-05
Banswara,Moderate,120,"PM
10",1,2023-06-06
Banswara,Moderate,103,"PM
10",1,2023-06-07
Banswara,Satisfactory,88,"PM
10",1,2023-06-08
Banswara,Satisfactory,98,CO,1,2023-06-09
Banswara,Satisfactory,74,"PM
10",1,2023-06-10
Banswara,Satisfactory,65,"O
3",1,2023-06-11
Banswara,Satisfactory,80,"PM
10",1,2023-06-12
Banswara,Moderate,108,CO,1,2023-06-13
Banswara,Moderate,164,"PM
2.5",1,2023-06-14
Banswara,Moderate,117,"PM
10",1,2023-06-15
Banswara,Moderate,155,"PM
10",1,2023-06-16
Banswara,Moderate,121,"PM
10",1,2023-06-17
Banswara,Moderate,153,"PM
2.5",1,2023-06-18
Banswara,Very Poor,307,"O
3",1,2023-06-20
Banswara,Moderate,138,"PM
2.5",1,2023-06-21
Banswara,Moderate,107,"PM
10",1,2023-06-22
Banswara,Moderate,121,"PM
10",1,2023-06-23
Banswara,Satisfactory,96,"PM
10",1,2023-06-24
Banswara,Satisfactory,76,"PM
10",1,2023-06-25
Banswara,Moderate,155,"PM
2.5",1,2023-06-26
Banswara,Satisfactory,58,"PM
10",1,2023-06-27
Banswara,Satisfactory,93,"PM
2.5",1,2023-06-29
Banswara,Satisfactory,55,"O
3",1,2023-06-30
Banswara,Good,48,"PM
2.5",1,2023-07-01
Banswara,Good,44,"PM
10",1,2023-07-02
Banswara,Satisfactory,66,"PM
10",1,2023-07-03
Banswara,Satisfactory,93,"PM
10",1,2023-07-04
Banswara,Satisfactory,87,"PM
10",1,2023-07-05
Banswara,Satisfactory,70,"O
3",1,2023-07-06
Banswara,Satisfactory,57,"O
3",1,2023-07-07
Banswara,Satisfactory,57,"PM
2.5",1,2023-07-08
Banswara,Satisfactory,51,"O
3",1,2023-07-09
Banswara,Good,47,"O
3",1,2023-07-10
Banswara,Satisfactory,61,"PM
10",1,2023-07-11
Banswara,Moderate,173,"PM
10",1,2023-07-12
Banswara,Moderate,141,"PM
10",1,2023-07-13
Banswara,Moderate,111,"PM
10",1,2023-07-14
Banswara,Satisfactory,98,"PM
10",1,2023-07-15
Banswara,Satisfactory,82,"PM
10",1,2023-07-16
Banswara,Satisfactory,91,"PM
10",1,2023-07-17
Banswara,Satisfactory,100,"PM
10",1,2023-07-18
Banswara,Satisfactory,75,"PM
10",1,2023-07-19
Banswara,Satisfactory,76,"PM
10",1,2023-07-20
Banswara,Satisfactory,88,"PM
10",1,2023-07-21
Banswara,Moderate,165,"PM
10",1,2023-07-22
Banswara,Good,27,"O
3",1,2023-07-23
Banswara,Good,34,"PM
10",1,2023-07-24
Banswara,Good,33,"PM
10",1,2023-07-25
Banswara,Satisfactory,56,"PM
10",1,2023-07-26
Banswara,Satisfactory,75,"PM
10",1,2023-07-27
Banswara,Satisfactory,54,"PM
10",1,2023-07-28
Banswara,Satisfactory,71,"PM
10",1,2023-07-29
Banswara,Good,36,"PM
10",1,2023-07-30
Banswara,Good,43,"PM
10",1,2023-07-31
Banswara,Satisfactory,55,"PM
10",1,2023-08-01
Banswara,Satisfactory,56,"PM
10",1,2023-08-02
