City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Panipat,Moderate,145,"PM
2.5",1,2019-01-10
Panipat,Very Poor,312,"PM
2.5",1,2019-01-11
Panipat,Very Poor,307,"PM
2.5",1,2019-01-12
Panipat,Moderate,105,"PM
2.5",1,2019-01-15
Panipat,Poor,226,"PM
2.5",1,2019-01-16
Panipat,Very Poor,370,"PM
2.5",1,2019-01-17
Panipat,Poor,291,"PM
2.5",1,2019-01-18
Panipat,Poor,225,"PM
2.5",1,2019-01-19
Panipat,Poor,290,"PM
2.5",1,2019-01-20
Panipat,Satisfactory,91,"PM
10",1,2019-01-22
Panipat,Satisfactory,88,"PM
10",1,2019-01-23
Panipat,Moderate,122,"PM
2.5",1,2019-01-24
Panipat,Satisfactory,75,"PM
2.5",1,2019-01-25
Panipat,Moderate,119,"PM
2.5",1,2019-01-28
Panipat,Moderate,119,"PM
2.5",1,2019-01-29
Panipat,Poor,246,"PM
2.5",1,2019-02-02
Panipat,Moderate,188,"PM
2.5",1,2019-02-03
Panipat,Poor,214,"PM
2.5",1,2019-02-04
Panipat,Poor,244,"PM
2.5",1,2019-02-05
Panipat,Moderate,200,"PM
2.5",1,2019-02-07
Panipat,Satisfactory,77,"PM
10",1,2019-02-09
Panipat,Satisfactory,89,"PM
10",1,2019-02-10
Panipat,Moderate,127,"PM
2.5",1,2019-02-11
Panipat,Moderate,177,"PM
2.5",1,2019-02-12
Panipat,Poor,233,"PM
2.5",1,2019-02-13
Panipat,Very Poor,325,"PM
2.5",1,2019-02-14
Panipat,Moderate,107,"PM
2.5",1,2019-02-15
Panipat,Satisfactory,95,"PM
10",1,2019-02-16
Panipat,Satisfactory,75,"PM
10",1,2019-02-17
Panipat,Satisfactory,86,"PM
10",1,2019-02-18
Panipat,Satisfactory,95,"PM
10",1,2019-02-19
Panipat,Moderate,150,"PM
2.5",1,2019-02-20
Panipat,Satisfactory,61,"PM
10",1,2019-02-21
Panipat,Satisfactory,93,"PM
10",1,2019-02-22
Panipat,Good,48,"PM
10",1,2019-02-23
Panipat,Satisfactory,61,"PM
10",1,2019-02-24
Panipat,Moderate,104,"PM
10",1,2019-02-25
Panipat,Satisfactory,82,"PM
10",1,2019-02-26
Panipat,Satisfactory,52,"PM
10",1,2019-02-27
Panipat,Satisfactory,62,"PM
2.5",1,2019-02-28
Panipat,Satisfactory,71,"PM
2.5",1,2019-03-01
Panipat,Satisfactory,90,"PM
2.5",1,2019-03-02
Panipat,Satisfactory,77,"PM
2.5",1,2019-03-03
Panipat,Satisfactory,75,"PM
2.5",1,2019-03-04
Panipat,Good,49,"PM
2.5",1,2019-03-05
Panipat,Satisfactory,57,"PM
2.5",1,2019-03-06
Panipat,Satisfactory,62,"PM
2.5",1,2019-03-07
Panipat,Moderate,117,"PM
10",1,2019-03-08
Panipat,Moderate,125,"PM
10",1,2019-03-09
Panipat,Satisfactory,83,"NO
2",1,2019-03-10
Panipat,Moderate,122,"PM
10",1,2019-03-11
Panipat,Satisfactory,73,"PM
10",1,2019-03-12
Panipat,Moderate,131,"PM
10",1,2019-03-13
Panipat,Moderate,121,"PM
10",1,2019-03-14
Panipat,Satisfactory,64,"NO
2",1,2019-03-15
Panipat,Satisfactory,87,"PM
10",1,2019-03-16
Panipat,Moderate,110,"PM
10",1,2019-03-17
Panipat,Moderate,116,"PM
10",1,2019-03-18
Panipat,Moderate,131,"PM
10",1,2019-03-19
Panipat,Moderate,146,"PM
10",1,2019-03-20
Panipat,Satisfactory,100,"PM
10",1,2019-03-21
Panipat,Satisfactory,66,"PM
10",1,2019-03-22
Panipat,Satisfactory,65,"NO
2",1,2019-03-23
Panipat,Satisfactory,66,"PM
10",1,2019-03-24
Panipat,Satisfactory,79,"PM
10",1,2019-03-25
Panipat,Satisfactory,89,"PM
10",1,2019-03-26
Panipat,Satisfactory,94,"PM
10",1,2019-03-27
Panipat,Moderate,145,"PM
10",1,2019-03-28
Panipat,Moderate,120,"PM
10",1,2019-03-29
Panipat,Moderate,134,"PM
10",1,2019-03-30
