City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Rajsamand,Satisfactory,70,"PM
10",1,2023-03-14
Rajsamand,Satisfactory,98,"PM
2.5",1,2023-03-15
Rajsamand,Satisfactory,58,"PM
10",1,2023-03-17
Rajsamand,Satisfactory,53,"PM
2.5",1,2023-03-19
Rajsamand,Good,43,"PM
10",1,2023-03-20
Rajsamand,Satisfactory,53,"O
3",1,2023-03-21
Rajsamand,Satisfactory,64,"O
3",1,2023-03-22
Rajsamand,Satisfactory,54,"PM
10",1,2023-03-23
Rajsamand,Good,46,"PM
10",1,2023-03-24
Rajsamand,Satisfactory,62,"PM
10",1,2023-03-25
Rajsamand,Satisfactory,86,"PM
10",1,2023-03-26
Rajsamand,Moderate,104,"PM
10",1,2023-03-27
Rajsamand,Satisfactory,85,"PM
10",1,2023-03-28
Rajsamand,Satisfactory,85,"PM
10",1,2023-03-29
Rajsamand,Satisfactory,90,"PM
10",1,2023-03-30
Rajsamand,Good,44,"PM
10",1,2023-03-31
Rajsamand,Satisfactory,53,"O
3",1,2023-04-01
Rajsamand,Satisfactory,53,"PM
10",1,2023-04-02
Rajsamand,Good,47,"O
3",1,2023-04-03
Rajsamand,Satisfactory,70,"PM
10",1,2023-04-04
Rajsamand,Satisfactory,76,"PM
10",1,2023-04-05
Rajsamand,Moderate,133,"PM
10",1,2023-04-06
Rajsamand,Moderate,129,"PM
10",1,2023-04-07
Rajsamand,Satisfactory,74,"PM
10",1,2023-04-09
Rajsamand,Moderate,107,"PM
10",1,2023-04-10
Rajsamand,Satisfactory,100,"PM
10",1,2023-04-11
Rajsamand,Satisfactory,84,"PM
10",1,2023-04-12
Rajsamand,Good,48,"PM
10",1,2023-04-13
Rajsamand,Satisfactory,53,"PM
10",1,2023-04-14
Rajsamand,Satisfactory,56,"PM
10",1,2023-04-16
Rajsamand,Satisfactory,62,"PM
10",1,2023-04-17
Rajsamand,Satisfactory,69,"PM
10",1,2023-04-18
Rajsamand,Moderate,107,"PM
10",1,2023-04-19
Rajsamand,Satisfactory,73,"PM
10",1,2023-04-20
Rajsamand,Satisfactory,76,"PM
10",1,2023-04-21
