City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Medikeri,Satisfactory,69,"PM
2.5",1,2020-11-09
Medikeri,Satisfactory,78,"O
3",1,2020-11-10
Medikeri,Satisfactory,74,"O
3",1,2020-11-11
Medikeri,Satisfactory,51,"PM
10",1,2020-11-12
Medikeri,Good,25,"O
3",1,2020-11-13
Medikeri,Good,33,"O
3",1,2020-11-14
Medikeri,Good,37,"O
3",1,2020-11-15
Medikeri,Good,22,"O
3",1,2020-11-16
Medikeri,Good,28,"O
3",1,2020-11-17
Medikeri,Good,28,"O
3",1,2020-11-18
Medikeri,Good,31,"O
3",1,2020-11-19
Medikeri,Good,34,"O
3",1,2020-11-20
Medikeri,Good,46,"O
3",1,2020-11-21
Medikeri,Satisfactory,62,"O
3",1,2020-11-22
Medikeri,Satisfactory,59,"O
3",1,2020-11-23
Medikeri,Satisfactory,55,"O
3",1,2020-11-24
Medikeri,Good,43,"PM
10",1,2020-11-26
Medikeri,Good,48,"O
3",1,2020-11-27
Medikeri,Good,40,"O
3",1,2020-11-28
Medikeri,Good,39,"O
3",1,2020-11-29
Medikeri,Good,40,"O
3",1,2020-11-30
Medikeri,Satisfactory,52,"O
3",1,2020-12-01
Medikeri,Satisfactory,53,"O
3",1,2020-12-02
Medikeri,Good,43,"PM
10",1,2020-12-03
Medikeri,Good,40,"O
3",1,2020-12-04
Medikeri,Good,36,"O
3",1,2020-12-05
Medikeri,Good,45,"O
3",1,2020-12-06
Medikeri,Good,29,"O
3",1,2020-12-07
Medikeri,Good,29,"O
3",1,2020-12-08
Medikeri,Good,34,"O
3",1,2020-12-09
Medikeri,Good,36,"O
3",1,2020-12-10
Medikeri,Good,47,"O
3",1,2020-12-11
Medikeri,Good,48,"O
3",1,2020-12-12
Medikeri,Good,47,"O
3",1,2020-12-13
Medikeri,Satisfactory,53,"O
3",1,2020-12-14
Medikeri,Satisfactory,62,"PM
10",1,2020-12-15
Medikeri,Satisfactory,62,"PM
10",1,2020-12-16
Medikeri,Good,43,"PM
10",1,2020-12-17
Medikeri,Good,47,"PM
10",1,2020-12-18
Medikeri,Satisfactory,66,"PM
10",1,2020-12-19
Medikeri,Satisfactory,78,"PM
10",1,2020-12-20
Medikeri,Satisfactory,79,"PM
10",1,2020-12-21
Medikeri,Satisfactory,92,"O
3",1,2020-12-22
Medikeri,Moderate,108,"O
3",1,2020-12-23
Medikeri,Satisfactory,96,"O
3",1,2020-12-24
Medikeri,Moderate,151,"O
3",1,2020-12-25
Medikeri,Moderate,152,"O
3",1,2020-12-26
Medikeri,Moderate,163,"O
3",1,2020-12-27
Medikeri,Moderate,126,"O
3",1,2020-12-28
Medikeri,Moderate,147,"O
3",1,2020-12-29
Medikeri,Satisfactory,97,"O
3",1,2020-12-30
Medikeri,Satisfactory,87,"O
3",1,2020-12-31
Medikeri,Moderate,117,"O
3",1,2021-01-01
Medikeri,Moderate,124,"O
3",1,2021-01-02
Medikeri,Moderate,103,"O
3",1,2021-01-03
Medikeri,Satisfactory,72,"O
3",1,2021-01-04
Medikeri,Satisfactory,84,"O
3",1,2021-01-05
Medikeri,Satisfactory,66,"O
3",1,2021-01-06
Medikeri,Good,46,"O
3",1,2021-01-07
Medikeri,Satisfactory,55,"O
3",1,2021-01-08
Medikeri,Good,49,"O
3",1,2021-01-09
Medikeri,Satisfactory,67,"O
3",1,2021-01-10
Medikeri,Satisfactory,60,"O
3",1,2021-01-11
Medikeri,Satisfactory,61,"O
3",1,2021-01-12
Medikeri,Satisfactory,62,"O
3",1,2021-01-13
Medikeri,Good,41,"PM
10",1,2021-01-14
Medikeri,Good,42,CO,1,2021-01-15
Medikeri,Satisfactory,52,CO,1,2021-01-16
Medikeri,Satisfactory,65,CO,1,2021-01-17
Medikeri,Satisfactory,60,CO,1,2021-01-18
Medikeri,Satisfactory,56,CO,1,2021-01-19
Medikeri,Satisfactory,56,"O
3",1,2021-01-20
Medikeri,Satisfactory,70,CO,1,2021-01-21
Medikeri,Satisfactory,66,"O
3",1,2021-01-22
Medikeri,Satisfactory,70,CO,1,2021-01-23
Medikeri,Satisfactory,66,"PM
10",1,2021-01-24
Medikeri,Satisfactory,74,"PM
10",1,2021-01-25
Medikeri,Satisfactory,52,CO,1,2021-01-26
Medikeri,Satisfactory,84,"O
3",1,2021-01-27
Medikeri,Satisfactory,85,"O
3",1,2021-01-28
Medikeri,Satisfactory,75,"PM
10",1,2021-01-29
Medikeri,Satisfactory,85,"PM
10",1,2021-01-30
Medikeri,Satisfactory,90,"PM
10",1,2021-01-31
Medikeri,Satisfactory,83,"PM
10",1,2021-02-01
Medikeri,Satisfactory,70,"PM
10",1,2021-02-02
Medikeri,Satisfactory,86,"PM
10",1,2021-02-03
Medikeri,Satisfactory,83,"PM
10",1,2021-02-04
Medikeri,Satisfactory,81,"PM
10",1,2021-02-05
Medikeri,Satisfactory,78,"PM
10",1,2021-02-06
Medikeri,Satisfactory,80,"PM
10",1,2021-02-07
Medikeri,Satisfactory,94,"PM
10",1,2021-02-08
Medikeri,Satisfactory,81,"PM
10",1,2021-02-09
Medikeri,Satisfactory,76,"PM
10",1,2021-02-10
Medikeri,Satisfactory,70,"PM
10",1,2021-02-11
Medikeri,Satisfactory,70,"PM
10",1,2021-02-12
Medikeri,Satisfactory,72,"PM
10",1,2021-02-13
Medikeri,Satisfactory,69,"PM
10",1,2021-02-14
Medikeri,Satisfactory,73,"PM
10",1,2021-02-15
Medikeri,Satisfactory,77,"PM
10",1,2021-02-16
Medikeri,Satisfactory,52,"PM
10",1,2021-02-18
Medikeri,Satisfactory,56,"PM
10",1,2021-02-19
Medikeri,Good,49,"PM
10",1,2021-02-20
Medikeri,Good,39,"PM
10",1,2021-02-21
Medikeri,Good,30,CO,1,2021-02-22
Medikeri,Good,28,CO,1,2021-02-23
Medikeri,Good,48,"PM
10",1,2021-02-24
Medikeri,Good,45,"PM
10",1,2021-02-25
Medikeri,Satisfactory,58,"PM
10",1,2021-02-26
Medikeri,Satisfactory,70,"PM
10",1,2021-02-27
Medikeri,Satisfactory,77,"PM
10",1,2021-02-28
Medikeri,Satisfactory,69,"PM
10",1,2021-03-01
Medikeri,Satisfactory,69,"PM
10",1,2021-03-02
Medikeri,Satisfactory,74,"PM
10",1,2021-03-03
Medikeri,Satisfactory,72,"PM
10",1,2021-03-04
Medikeri,Satisfactory,58,"PM
10",1,2021-03-05
Medikeri,Satisfactory,63,"PM
10",1,2021-03-06
Medikeri,Satisfactory,67,"PM
10",1,2021-03-07
Medikeri,Satisfactory,55,"PM
10",1,2021-03-09
Medikeri,Satisfactory,59,"PM
10",1,2021-03-10
Medikeri,Satisfactory,57,"PM
10",1,2021-03-11
Medikeri,Good,44,"PM
10",1,2021-03-12
Medikeri,Good,48,"O
3",1,2021-03-13
Medikeri,Good,50,"PM
10",1,2021-03-14
Medikeri,Good,46,"PM
10",1,2021-03-15
Medikeri,Satisfactory,51,"PM
10",1,2021-03-16
Medikeri,Satisfactory,59,"PM
10",1,2021-03-17
Medikeri,Satisfactory,68,"PM
10",1,2021-03-18
Medikeri,Satisfactory,70,"PM
10",1,2021-03-19
Medikeri,Satisfactory,72,"PM
10",1,2021-03-20
Medikeri,Satisfactory,64,"PM
10",1,2021-03-21
Medikeri,Satisfactory,75,"PM
10",1,2021-03-22
Medikeri,Satisfactory,74,"PM
10",1,2021-03-23
Medikeri,Satisfactory,74,"PM
10",1,2021-03-24
Medikeri,Satisfactory,70,"PM
10",1,2021-03-25
Medikeri,Satisfactory,73,"PM
10",1,2021-03-26
Medikeri,Satisfactory,75,"PM
10",1,2021-03-27
Medikeri,Satisfactory,73,"PM
10",1,2021-03-28
Medikeri,Satisfactory,68,"PM
10",1,2021-03-29
Medikeri,Good,50,"PM
10",1,2021-03-30
Medikeri,Satisfactory,60,"PM
10",1,2021-03-31
Medikeri,Satisfactory,67,"PM
10",1,2021-04-01
Medikeri,Satisfactory,56,"PM
10",1,2021-04-02
Medikeri,Moderate,105,"PM
10",1,2021-04-03
Medikeri,Satisfactory,97,"PM
10",1,2021-04-04
Medikeri,Satisfactory,94,"PM
10",1,2021-04-05
Medikeri,Satisfactory,92,"PM
10",1,2021-04-06
