City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Srinagar,Poor,277,"PM
2.5",1,2021-02-10
Srinagar,Moderate,194,"PM
2.5",1,2021-02-12
Srinagar,Poor,236,"PM
2.5",1,2021-02-14
Srinagar,Moderate,174,"PM
2.5",1,2021-02-15
Srinagar,Moderate,170,"PM
2.5",1,2021-02-16
Srinagar,Moderate,121,"PM
10",1,2021-02-17
Srinagar,Moderate,130,"PM
10",1,2021-02-18
Srinagar,Moderate,146,"PM
10",1,2021-02-19
Srinagar,Satisfactory,80,"PM
10",1,2021-02-20
Srinagar,Moderate,193,"PM
2.5",1,2021-02-21
Srinagar,Moderate,171,"PM
2.5",1,2021-02-22
Srinagar,Satisfactory,96,"PM
10",1,2021-02-25
Srinagar,Good,48,"PM
2.5",1,2021-02-26
Srinagar,Good,35,"SO
2",1,2021-02-27
Srinagar,Good,25,"PM
10",1,2021-02-28
Srinagar,Satisfactory,78,"PM
10",1,2021-03-01
Srinagar,Satisfactory,87,"PM
10",1,2021-03-02
Srinagar,Moderate,155,"PM
10",1,2021-03-03
Srinagar,Satisfactory,79,"PM
10",1,2021-03-05
Srinagar,Satisfactory,84,"PM
10",1,2021-03-06
Srinagar,Moderate,104,"PM
2.5",1,2021-03-07
Srinagar,Good,44,"PM
2.5",1,2021-03-08
Srinagar,Satisfactory,59,"PM
2.5",1,2021-03-09
Srinagar,Good,29,CO,1,2021-03-13
Srinagar,Satisfactory,58,"PM
2.5",1,2021-03-14
Srinagar,Good,43,"PM
2.5",1,2021-03-15
Srinagar,Moderate,120,"PM
10",1,2021-03-16
Srinagar,Moderate,117,"PM
10",1,2021-03-17
Srinagar,Moderate,125,"PM
10",1,2021-03-19
Srinagar,Satisfactory,92,"PM
10",1,2021-03-20
Srinagar,Moderate,129,"PM
10",1,2021-03-21
Srinagar,Good,26,"PM
10",1,2021-03-25
Srinagar,Moderate,105,"PM
10",1,2021-03-26
Srinagar,Moderate,118,"PM
10",1,2021-03-27
Srinagar,Satisfactory,52,"PM
10",1,2021-03-29
Srinagar,Good,44,"NO
2",1,2021-03-30
Srinagar,Satisfactory,51,"PM
10",1,2021-03-31
Srinagar,Satisfactory,86,"PM
10",1,2021-04-01
Srinagar,Satisfactory,62,"PM
10",1,2021-04-02
Srinagar,Satisfactory,63,"PM
10",1,2021-04-03
Srinagar,Satisfactory,91,"PM
10",1,2021-04-04
Srinagar,Good,37,"NO
2",1,2021-04-05
Srinagar,Good,40,"NO
2",1,2021-04-06
Srinagar,Good,36,"NO
2",1,2021-04-07
Srinagar,Good,48,"PM
10",1,2021-04-08
Srinagar,Satisfactory,55,"PM
10",1,2021-04-09
Srinagar,Satisfactory,82,"PM
10",1,2021-04-10
Srinagar,Satisfactory,83,"PM
10",1,2021-04-11
Srinagar,Good,36,"NO
2",1,2021-04-12
Srinagar,Satisfactory,72,"PM
10",1,2021-04-13
Srinagar,Moderate,102,"PM
10",1,2021-04-14
Srinagar,Good,49,"PM
10",1,2021-04-15
Srinagar,Good,36,"NO
2",1,2021-04-16
Srinagar,Good,34,"NO
2",1,2021-04-18
Srinagar,Good,34,"NO
2",1,2021-04-19
Srinagar,Satisfactory,100,"PM
10",1,2021-04-20
Srinagar,Satisfactory,68,"PM
10",1,2021-04-21
Srinagar,Satisfactory,70,"PM
10",1,2021-04-22
Srinagar,Good,32,"NO
2",1,2021-04-23
Srinagar,Satisfactory,55,"PM
10",1,2021-04-24
Srinagar,Satisfactory,85,"PM
10",1,2021-04-25
Srinagar,Satisfactory,83,"PM
10",1,2021-04-26
Srinagar,Moderate,110,"PM
10",1,2021-04-27
Srinagar,Satisfactory,95,"PM
10",1,2021-04-28
Srinagar,Satisfactory,64,"PM
10",1,2021-04-29
Srinagar,Satisfactory,88,"PM
10",1,2021-04-30
Srinagar,Satisfactory,53,"PM
2.5",1,2021-05-01
Srinagar,Satisfactory,94,"PM
10",1,2021-05-02
Srinagar,Satisfactory,91,"PM
10",1,2021-05-03
Srinagar,Satisfactory,98,"PM
10",1,2021-05-04
Srinagar,Satisfactory,63,"PM
2.5",1,2021-05-05
Srinagar,Satisfactory,76,"PM
10",1,2021-05-06
Srinagar,Satisfactory,72,"PM
10",1,2021-05-07
Srinagar,Satisfactory,92,"PM
10",1,2021-05-08
Srinagar,Satisfactory,87,"PM
10",1,2021-05-09
Srinagar,Moderate,101,"PM
10",1,2021-05-10
Srinagar,Satisfactory,55,"PM
2.5",1,2021-05-11
Srinagar,Satisfactory,51,"PM
10",1,2021-05-12
Srinagar,Good,38,"PM
10",1,2021-05-13
Srinagar,Good,49,"PM
10",1,2021-05-14
Srinagar,Satisfactory,52,"PM
10",1,2021-05-15
Srinagar,Good,41,"PM
10",1,2021-05-16
Srinagar,Good,43,"PM
10",1,2021-05-17
Srinagar,Satisfactory,93,"PM
10",1,2021-05-18
Srinagar,Satisfactory,68,"PM
10",1,2021-05-19
Srinagar,Satisfactory,88,"PM
10",1,2021-05-20
Srinagar,Good,47,"PM
10",1,2021-05-21
Srinagar,Good,43,"PM
10",1,2021-05-22
Srinagar,Satisfactory,80,"PM
10",1,2021-05-23
Srinagar,Satisfactory,69,"PM
10",1,2021-05-24
Srinagar,Satisfactory,97,"PM
10",1,2021-05-25
Srinagar,Moderate,105,"PM
10",1,2021-05-26
Srinagar,Moderate,114,"PM
10",1,2021-05-27
Srinagar,Moderate,134,"PM
10",1,2021-05-28
Srinagar,Moderate,132,"PM
10",1,2021-05-29
Srinagar,Satisfactory,90,"PM
10",1,2021-05-30
Srinagar,Moderate,131,"PM
10",1,2021-05-31
Srinagar,Satisfactory,77,"PM
10",1,2021-06-01
Srinagar,Satisfactory,66,"PM
10",1,2021-06-02
Srinagar,Satisfactory,100,"PM
10",1,2021-06-03
Srinagar,Good,50,"PM
10",1,2021-06-04
Srinagar,Satisfactory,89,"PM
10",1,2021-06-05
Srinagar,Satisfactory,84,"PM
10",1,2021-06-06
Srinagar,Satisfactory,96,"PM
10",1,2021-06-07
Srinagar,Moderate,109,"PM
10",1,2021-06-08
Srinagar,Moderate,127,"PM
2.5",1,2021-06-09
Srinagar,Moderate,162,"PM
2.5",1,2021-06-10
Srinagar,Moderate,172,"PM
2.5",1,2021-06-11
Srinagar,Satisfactory,75,"PM
10",1,2021-06-12
Srinagar,Good,46,"PM
10",1,2021-06-13
Srinagar,Satisfactory,71,"PM
10",1,2021-06-15
Srinagar,Satisfactory,80,"PM
10",1,2021-06-16
Srinagar,Satisfactory,62,"PM
10",1,2021-06-17
Srinagar,Satisfactory,86,"PM
10",1,2021-06-19
Srinagar,Satisfactory,91,"PM
10",1,2021-06-20
Srinagar,Satisfactory,51,"PM
10",1,2021-06-21
Srinagar,Satisfactory,80,"PM
10",1,2021-06-22
Srinagar,Moderate,123,"PM
10",1,2021-06-23
Srinagar,Satisfactory,57,"PM
10",1,2021-06-24
Srinagar,Satisfactory,66,"PM
10",1,2021-06-25
