City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Singrauli,Very Poor,347,"PM
2.5",1,2017-12-08
Singrauli,Poor,295,"PM
2.5",1,2017-12-09
Singrauli,Poor,253,"PM
2.5",1,2017-12-10
Singrauli,Very Poor,327,"O
3",1,2017-12-11
Singrauli,Poor,295,"PM
2.5",1,2017-12-12
Singrauli,Very Poor,301,"PM
2.5",1,2017-12-13
Singrauli,Very Poor,333,"PM
2.5",1,2017-12-14
Singrauli,Very Poor,323,"PM
2.5",1,2017-12-15
Singrauli,Poor,296,"PM
2.5",1,2017-12-16
Singrauli,Poor,231,"PM
2.5",1,2017-12-17
Singrauli,Poor,289,"PM
2.5",1#,2017-12-18
Singrauli,Very Poor,316,"PM
2.5",1,2017-12-19
Singrauli,Very Poor,363,"PM
2.5",1,2017-12-20
Singrauli,Very Poor,388,"PM
2.5",1,2017-12-21
Singrauli,Very Poor,376,"PM
2.5",1,2017-12-22
Singrauli,Very Poor,302,"PM
2.5",1,2017-12-23
Singrauli,Poor,246,"PM
2.5",1,2017-12-24
Singrauli,Poor,270,"PM
2.5",1,2017-12-25
Singrauli,Poor,223,"PM
2.5",1,2017-12-26
Singrauli,Very Poor,308,"PM
2.5",1,2017-12-27
Singrauli,Very Poor,351,"PM
2.5",1,2017-12-29
Singrauli,Very Poor,365,"PM
2.5",1,2017-12-30
Singrauli,Very Poor,380,"PM
2.5",1,2017-12-31
Singrauli,Very Poor,382,"PM
2.5",1,2018-01-01
Singrauli,Very Poor,345,"PM
2.5",1,2018-01-02
Singrauli,Poor,300,"PM
2.5",1,2018-01-03
Singrauli,Very Poor,316,"PM
2.5",1,2018-01-04
Singrauli,Very Poor,356,"PM
2.5",1#,2018-01-05
Singrauli,Very Poor,306,"PM
2.5",1,2018-01-06
Singrauli,Poor,239,"PM
2.5",1,2018-01-09
Singrauli,Poor,260,"PM
2.5",1,2018-01-10
Singrauli,Poor,248,"PM
2.5",1,2018-01-11
Singrauli,Poor,244,"PM
2.5",1,2018-01-12
Singrauli,Poor,246,"PM
2.5",1,2018-01-13
Singrauli,Poor,290,"PM
2.5",1,2018-01-14
Singrauli,Poor,246,"PM
2.5",1,2018-01-15
Singrauli,Poor,254,"PM
2.5",1,2018-01-16
Singrauli,Poor,251,"PM
2.5",1,2018-01-18
Singrauli,Very Poor,389,"PM
2.5",1,2018-01-19
Singrauli,Poor,250,"PM
2.5",1,2018-01-20
Singrauli,Poor,296,"PM
2.5",1,2018-01-22
Singrauli,Very Poor,320,"PM
2.5",1#,2018-01-23
Singrauli,Poor,257,"PM
2.5",1,2018-01-24
Singrauli,Poor,253,"PM
2.5",1,2018-01-25
Singrauli,Poor,253,"PM
2.5",1,2018-01-26
Singrauli,Moderate,199,"PM
2.5",1,2018-01-27
Singrauli,Poor,249,"PM
2.5",1,2018-01-28
Singrauli,Poor,227,PM2.5,1,2018-01-29
Singrauli,Poor,224,PM2.5,1,2018-01-30
Singrauli,Moderate,173,"PM
10",1,2018-01-31
Singrauli,Poor,232,"PM
10",1,2018-02-01
Singrauli,Moderate,184,"PM
10",1,2018-02-02
Singrauli,Poor,296,"PM
10",1,2018-02-03
Singrauli,Poor,279,"PM
2.5",1,2018-02-04
Singrauli,Poor,262,"PM
2.5",1,2018-02-05
Singrauli,Poor,283,"PM
2.5",1,2018-02-06
Singrauli,Moderate,166,"PM
10",1,2018-02-07
Singrauli,Moderate,156,"PM
10",1,2018-02-08
Singrauli,Poor,223,"PM
2.5",1,2018-02-09
Singrauli,Poor,253,"PM
2.5",1,2018-02-10
Singrauli,Poor,272,"PM
10",1,2018-02-11
Singrauli,Moderate,174,"PM
2.5",1,2018-02-12
Singrauli,Moderate,149,"PM
2.5",1,2018-02-13
Singrauli,Moderate,153,"PM
2.5",1,2018-02-14
Singrauli,Moderate,131,"PM
2.5",1,2018-02-15
Singrauli,Moderate,189,"PM
2.5",1,2018-02-16
Singrauli,Moderate,157,"PM
2.5",1,2018-02-17
Singrauli,Poor,250,"PM
10",1,2018-02-18
Singrauli,Poor,210,"PM
10",1,2018-02-19
Singrauli,Poor,202,"PM
2.5",1,2018-02-20
Singrauli,Moderate,171,"PM
10",1,2018-02-21
Singrauli,Poor,202,"PM
10",1,2018-02-22
Singrauli,Moderate,186,"PM
10",1,2018-02-23
Singrauli,Poor,201,"PM
10",1,2018-02-24
Singrauli,Poor,242,"PM
10",1,2018-02-25
Singrauli,Moderate,190,"PM
2.5",1,2018-02-26
Singrauli,Moderate,168,"PM
10",1,2018-02-27
Singrauli,Moderate,192,"PM
10",1,2018-02-28
Singrauli,Moderate,174,"PM
2.5",1,2018-03-01
Singrauli,Poor,223,"PM
10",1,2018-03-02
Singrauli,Moderate,134,"PM
10",1,2018-03-03
Singrauli,Moderate,190,"PM
10",1,2018-03-04
Singrauli,Moderate,196,"PM
10",1,2018-03-05
Singrauli,Moderate,155,"PM
10",1,2018-03-06
Singrauli,Moderate,161,"PM
10",1,2018-03-07
Singrauli,Moderate,182,"PM
10",1,2018-03-08
Singrauli,Poor,206,"PM
2.5",1,2018-03-09
Singrauli,Poor,211,"PM
10",1,2018-03-10
Singrauli,Poor,246,"PM
10",1,2018-03-11
Singrauli,Poor,275,"PM
10",1,2018-03-12
Singrauli,Poor,210,"PM
10",1,2018-03-13
Singrauli,Poor,223,"PM
10",1,2018-03-14
Singrauli,Poor,290,"PM
10",1,2018-03-15
Singrauli,Moderate,137,"PM
2.5",1,2018-03-16
Singrauli,Moderate,126,"PM
10",1,2018-03-17
Singrauli,Moderate,190,"PM
10",1,2018-03-18
Singrauli,Moderate,192,"PM
10",1,2018-03-19
Singrauli,Poor,205,"PM
10",1,2018-03-20
Singrauli,Poor,284,"PM
10",1,2018-03-21
Singrauli,Poor,235,"PM
2.5",1,2018-03-22
Singrauli,Very Poor,302,"PM
10",1,2018-03-23
Singrauli,Poor,221,"PM
10",1,2018-03-24
Singrauli,Poor,206,"PM
10",1,2018-03-25
Singrauli,Moderate,168,"PM
10",1,2018-03-26
Singrauli,Poor,210,"PM
10",1,2018-03-27
Singrauli,Very Poor,328,"PM
10",1,2018-03-28
Singrauli,Poor,277,"PM
10",1,2018-03-29
Singrauli,Poor,231,"PM
10",1,2018-03-30
Singrauli,Severe,406,"PM
10",1,2018-03-31
Singrauli,Poor,220,"PM
10",1,2018-04-01
Singrauli,Moderate,190,"PM
10",1,2018-04-02
Singrauli,Poor,209,"PM
10",1,2018-04-03
