City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Nanded,Satisfactory,84,"PM
10",1,2023-06-18
Nanded,Moderate,104,"PM
10",1,2023-06-19
Nanded,Moderate,102,"PM
10",1,2023-06-20
Nanded,Satisfactory,79,"PM
10",1,2023-06-21
Nanded,Satisfactory,69,"PM
10",1,2023-06-22
Nanded,Satisfactory,67,"PM
10",1,2023-06-23
Nanded,Good,46,"PM
10",1,2023-06-24
Nanded,Good,40,"O
3",1,2023-06-25
Nanded,Good,30,"O
3",1,2023-06-26
Nanded,Moderate,167,CO,1,2023-06-27
Nanded,Good,29,"O
3",1,2023-06-28
Nanded,Good,30,"O
3",1,2023-06-29
Nanded,Good,47,"O
3",1,2023-06-30
Nanded,Good,49,"PM
10",1,2023-07-01
Nanded,Satisfactory,57,"PM
10",1,2023-07-02
Nanded,Good,46,"PM
10",1,2023-07-03
Nanded,Satisfactory,56,"O
3",1,2023-07-04
Nanded,Satisfactory,56,"O
3",1,2023-07-05
Nanded,Good,48,"O
3",1,2023-07-06
Nanded,Satisfactory,62,"O
3",1,2023-07-07
Nanded,Good,43,"O
3",1,2023-07-08
Nanded,Good,46,"PM
10",1,2023-07-09
Nanded,Satisfactory,54,"PM
10",1,2023-07-10
Nanded,Satisfactory,71,"PM
10",1,2023-07-11
Nanded,Good,42,"PM
10",1,2023-07-13
Nanded,Good,43,"PM
10",1,2023-07-14
Nanded,Good,44,"PM
10",1,2023-07-16
Nanded,Good,44,"PM
10",1,2023-07-17
Nanded,Good,45,"PM
10",1,2023-07-18
Nanded,Satisfactory,83,"O
3",1,2023-07-19
Nanded,Good,33,"PM
10",1,2023-07-20
Nanded,Good,26,"PM
10",1,2023-07-22
Nanded,Satisfactory,67,"PM
10",1,2023-07-25
Nanded,Satisfactory,64,"PM
10",1,2023-07-26
Nanded,Good,49,"PM
10",1,2023-07-29
Nanded,Satisfactory,56,"PM
10",1,2023-08-01
Nanded,Good,45,"O
3",1,2023-08-02
Nanded,Satisfactory,52,"O
3",1,2023-08-04
Nanded,Satisfactory,53,"O
3",1,2023-08-05
Nanded,Satisfactory,55,"O
3",1,2023-08-06
Nanded,Good,50,"O
3",1,2023-08-07
Nanded,Satisfactory,56,"PM
10",1,2023-08-08
Nanded,Satisfactory,52,"O
3",1,2023-08-09
Nanded,Good,43,"PM
10",1,2023-08-11
Nanded,Satisfactory,58,"O
3",1,2023-08-12
Nanded,Satisfactory,52,"O
3",1,2023-08-13
Nanded,Good,43,CO,1,2023-08-14
Nanded,Satisfactory,77,"PM
2.5",1,2023-08-15
Nanded,Good,45,"O
3",1,2023-08-16
Nanded,Satisfactory,52,"O
3",1,2023-08-17
Nanded,Satisfactory,53,"PM
10",1,2023-08-18
Nanded,Good,32,"PM
10",1,2023-08-19
Nanded,Good,31,"PM
10",1,2023-08-20
Nanded,Good,36,"O
3",1,2023-08-22
Nanded,Good,37,"O
3",1,2023-08-23
Nanded,Satisfactory,60,"PM
10",1,2023-08-24
Nanded,Satisfactory,66,"O
3",1,2023-08-25
Nanded,Satisfactory,65,"O
3",1,2023-08-26
Nanded,Satisfactory,64,"O
3",1,2023-08-27
Nanded,Moderate,116,"PM
10",1,2023-08-29
Nanded,Moderate,122,"PM
10",1,2023-08-30
Nanded,Moderate,130,"PM
10",1,2023-08-31
Nanded,Moderate,132,"PM
10",1,2023-09-01
Nanded,Moderate,129,"PM
10",1,2023-09-02
Nanded,Moderate,106,"PM
10",1,2023-09-03
Nanded,Satisfactory,77,"O
3",1,2023-09-04
Nanded,Satisfactory,81,"O
3",1,2023-09-05
Nanded,Moderate,104,"PM
10",1,2023-09-06
Nanded,Satisfactory,58,"PM
10",1,2023-09-07
Nanded,Good,35,"PM
10",1,2023-09-08
Nanded,Good,41,"O
3",1,2023-09-09
Nanded,Good,40,"PM
10",1,2023-09-10
Nanded,Good,42,"PM
10",1,2023-09-11
Nanded,Good,46,"O
3",1,2023-09-12
Nanded,Moderate,156,"O
3",1,2023-09-13
Nanded,Satisfactory,54,"O
3",1,2023-09-14
Nanded,Good,40,"PM
10",1,2023-09-15
Nanded,Satisfactory,66,"O
3",1,2023-09-16
Nanded,Good,44,"O
3",1,2023-09-17
Nanded,Satisfactory,51,"PM
10",1,2023-09-18
Nanded,Satisfactory,69,"PM
10",1,2023-09-19
Nanded,Satisfactory,72,"PM
10",1,2023-09-20
Nanded,Satisfactory,70,"PM
10",1,2023-09-21
Nanded,Good,32,"PM
10",1,2023-09-22
Nanded,Good,35,"PM
10",1,2023-09-23
Nanded,Good,32,"PM
10",1,2023-09-24
Nanded,Satisfactory,57,"O
3",1,2023-09-25
Nanded,Good,46,"PM
10",1,2023-09-26
Nanded,Good,44,"PM
10",1,2023-09-27
Nanded,Moderate,110,"PM
10",1,2023-09-28
Nanded,Satisfactory,66,"PM
10",1,2023-09-29
Nanded,Satisfactory,53,"PM
10",1,2023-09-30
Nanded,Satisfactory,91,"PM
10",1,2023-10-01
Nanded,Satisfactory,86,"PM
10",1,2023-10-02
Nanded,Moderate,172,"O
3",1,2023-10-03
Nanded,Moderate,166,"PM
2.5",1/1,2023-10-04
Nanded,Poor,244,"O
3",1/1,2023-10-05
Nanded,Moderate,151,"PM
10",1/1,2023-10-06
Nanded,Moderate,140,"PM
10",1/1,2023-10-07
Nanded,Moderate,126,"PM
10",1/1,2023-10-08
Nanded,Moderate,193,"O
3",1/1,2023-10-09
