City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Samastipur,Very Poor,320,"PM
10",1,2022-03-24
Samastipur,Poor,286,"PM
10",1,2022-03-25
Samastipur,Poor,232,"PM
10",1,2022-03-26
Samastipur,Poor,282,"PM
10",1,2022-03-27
Samastipur,Very Poor,363,"PM
2.5",1,2022-03-28
Samastipur,Very Poor,304,"PM
10",1,2022-03-29
Samastipur,Poor,289,"PM
10",1,2022-03-30
Samastipur,Poor,240,"PM
10",1,2022-03-31
Samastipur,Moderate,196,"PM
10",1,2022-04-02
Samastipur,Moderate,173,"PM
10",1,2022-04-03
Samastipur,Poor,234,"PM
10",1,2022-04-04
Samastipur,Poor,281,"PM
2.5",1,2022-04-05
Samastipur,Very Poor,318,"PM
2.5",1,2022-04-06
Samastipur,Moderate,188,"PM
10",1,2022-04-08
Samastipur,Moderate,193,"PM
2.5",1,2022-04-12
Samastipur,Poor,287,"PM
10",1,2022-04-15
Samastipur,Very Poor,309,"PM
10",1,2022-04-16
Samastipur,Very Poor,386,"PM
10",1,2022-04-17
Samastipur,Very Poor,367,"PM
10",1,2022-04-18
Samastipur,Poor,265,"PM
10",1,2022-04-19
Samastipur,Poor,288,"PM
10",1,2022-04-20
Samastipur,Moderate,176,"PM
10",1,2022-04-21
Samastipur,Poor,260,"PM
10",1,2022-04-23
Samastipur,Poor,287,"PM
2.5",1,2022-04-24
Samastipur,Very Poor,347,"PM
10",1,2022-04-25
Samastipur,Poor,289,"PM
2.5",1,2022-04-26
Samastipur,Very Poor,340,"PM
2.5",1,2022-04-27
Samastipur,Moderate,188,"PM
2.5",1,2022-04-28
Samastipur,Poor,259,"PM
2.5",1,2022-04-29
Samastipur,Moderate,141,"PM
10",1,2022-05-02
Samastipur,Satisfactory,92,"PM
10",1,2022-05-04
Samastipur,Moderate,178,"PM
10",1,2022-05-06
Samastipur,Moderate,189,"PM
10",1,2022-05-07
Samastipur,Poor,253,"PM
10",1,2022-05-08
Samastipur,Moderate,183,"PM
10",1,2022-05-09
Samastipur,Moderate,126,"PM
10",1,2022-05-10
Samastipur,Moderate,128,"PM
10",1,2022-05-11
Samastipur,Moderate,137,"PM
10",1,2022-05-12
Samastipur,Poor,281,"PM
10",1,2022-05-13
Samastipur,Moderate,126,"PM
10",1,2022-05-15
Samastipur,Moderate,147,"PM
10",1,2022-05-16
Samastipur,Moderate,131,"PM
10",1,2022-05-17
Samastipur,Moderate,136,"PM
10",1,2022-05-18
Samastipur,Moderate,199,"PM
10",1,2022-05-19
Samastipur,Moderate,142,"PM
10",1,2022-05-21
Samastipur,Moderate,150,"PM
10",1,2022-05-23
Samastipur,Moderate,157,"PM
10",1,2022-05-24
Samastipur,Moderate,166,"PM
10",1,2022-05-25
Samastipur,Satisfactory,96,"PM
2.5",1,2022-05-26
Samastipur,Poor,235,"PM
10",1,2022-05-27
Samastipur,Poor,210,"PM
10",1,2022-05-28
Samastipur,Moderate,123,"PM
10",1,2022-05-29
Samastipur,Moderate,180,"PM
10",1,2022-05-30
Samastipur,Moderate,192,"PM
10",1,2022-05-31
Samastipur,Poor,249,"PM
10",1,2022-06-01
Samastipur,Poor,297,"PM
10",1,2022-06-02
Samastipur,Poor,268,"PM
10",1,2022-06-04
Samastipur,Moderate,187,"PM
10",1,2022-06-05
Samastipur,Moderate,149,"PM
10",1,2022-06-07
Samastipur,Moderate,159,"PM
10",1,2022-06-08
Samastipur,Moderate,183,"PM
10",1,2022-06-09
Samastipur,Moderate,134,"PM
10",1,2022-06-10
Samastipur,Moderate,187,"PM
10",1,2022-06-12
Samastipur,Moderate,142,"PM
10",1,2022-06-14
Samastipur,Moderate,167,"PM
10",1,2022-06-15
Samastipur,Moderate,182,"PM
10",1,2022-06-23
Samastipur,Moderate,148,"PM
10",1,2022-06-24
Samastipur,Moderate,127,"PM
10",1,2022-06-27
Samastipur,Moderate,193,"PM
10",1,2022-06-28
Samastipur,Moderate,175,"PM
10",1,2022-07-01
Samastipur,Satisfactory,93,CO,1,2022-07-02
Samastipur,Moderate,147,"PM
10",1,2022-07-04
Samastipur,Moderate,122,"PM
10",1,2022-07-09
Samastipur,Moderate,126,"PM
10",1,2022-07-10
Samastipur,Moderate,116,"PM
10",1,2022-07-15
Samastipur,Moderate,115,CO,1,2022-07-16
Samastipur,Satisfactory,88,CO,1,2022-07-18
Samastipur,Moderate,164,"PM
10",1,2022-07-19
Samastipur,Moderate,138,"PM
10",1,2022-07-20
Samastipur,Moderate,118,CO,1,2022-07-21
Samastipur,Moderate,106,CO,1,2022-07-22
Samastipur,Moderate,109,"PM
10",1,2022-07-23
Samastipur,Moderate,113,CO,1,2022-07-26
Samastipur,Moderate,110,"PM
10",1,2022-07-29
Samastipur,Moderate,139,"PM
10",1,2022-08-05
Samastipur,Moderate,143,"PM
10",1,2022-08-06
Samastipur,Satisfactory,75,"PM
10",1,2022-08-19
Samastipur,Satisfactory,51,"PM
10",1,2022-08-21
Samastipur,Moderate,132,"PM
10",1,2022-08-23
Samastipur,Moderate,134,"PM
10",1,2022-08-24
Samastipur,Poor,251,"PM
10",1,2022-08-25
Samastipur,Moderate,140,"PM
10",1,2022-08-26
Samastipur,Moderate,118,"PM
10",1,2022-08-27
Samastipur,Satisfactory,64,"PM
10",1,2022-08-28
Samastipur,Moderate,110,"PM
10",1,2022-08-29
Samastipur,Moderate,151,"PM
10",1,2022-08-30
Samastipur,Moderate,123,"PM
10",1,2022-09-01
Samastipur,Moderate,121,"PM
10",1,2022-09-02
Samastipur,Satisfactory,73,"PM
10",1,2022-09-04
Samastipur,Satisfactory,97,"PM
10",1,2022-09-05
Samastipur,Moderate,149,"PM
10",1,2022-09-06
Samastipur,Moderate,122,"PM
10",1,2022-09-07
Samastipur,Satisfactory,98,"PM
2.5",1,2022-09-08
Samastipur,Moderate,160,"PM
10",1,2022-09-10
Samastipur,Satisfactory,81,"PM
10",1,2022-09-11
Samastipur,Satisfactory,72,"PM
10",1,2022-09-12
Samastipur,Satisfactory,61,"PM
10",1,2022-09-13
Samastipur,Satisfactory,67,"PM
10",1,2022-09-14
Samastipur,Satisfactory,55,"PM
10",1,2022-09-16
Samastipur,Satisfactory,86,"PM
10",1,2022-09-18
Samastipur,Moderate,141,"PM
10",1,2022-09-19
Samastipur,Satisfactory,84,"PM
10",1,2022-09-20
Samastipur,Moderate,132,"PM
10",1,2022-09-21
Samastipur,Moderate,135,"PM
10",1,2022-09-23
Samastipur,Moderate,148,"PM
10",1,2022-09-24
Samastipur,Satisfactory,83,"PM
10",1,2022-09-25
Samastipur,Moderate,143,"PM
10",1,2022-09-26
Samastipur,Moderate,102,"PM
10",1,2022-09-27
Samastipur,Moderate,135,"PM
10",1,2022-09-28
Samastipur,Moderate,107,"PM
10",1,2022-09-29
Samastipur,Satisfactory,83,"PM
10",1,2022-09-30
Samastipur,Moderate,119,"PM
10",1,2022-10-01
Samastipur,Moderate,127,"PM
2.5",1,2022-10-02
Samastipur,Moderate,118,"PM
2.5",1,2022-10-03
Samastipur,Good,48,CO,1,2022-10-04
Samastipur,Satisfactory,100,"PM
10",1,2022-10-07
Samastipur,Satisfactory,87,"PM
10",1,2022-10-08
Samastipur,Poor,205,"PM
10",1,2022-10-09
Samastipur,Moderate,104,"PM
10",1,2022-10-10
Samastipur,Satisfactory,58,"PM
10",1,2022-10-11
Samastipur,Satisfactory,96,"PM
10",1,2022-10-12
Samastipur,Moderate,165,"PM
10",1,2022-10-13
Samastipur,Moderate,161,"PM
10",1,2022-10-14
Samastipur,Satisfactory,90,"PM
10",1,2022-10-15
Samastipur,Moderate,173,"PM
2.5",1,2022-10-16
Samastipur,Moderate,133,"PM
10",1,2022-10-17
Samastipur,Moderate,175,"PM
10",1,2022-10-18
Samastipur,Moderate,196,"PM
10",1,2022-10-19
Samastipur,Poor,233,"PM
10",1,2022-10-20
Samastipur,Poor,291,"PM
10",1,2022-10-22
Samastipur,Moderate,168,"PM
10",1,2022-10-23
Samastipur,Moderate,133,"PM
10",1,2022-10-25
Samastipur,Very Poor,366,"PM
2.5",1,2022-10-28
Samastipur,Poor,281,"PM
2.5",1,2022-10-29
Samastipur,Poor,264,"PM
2.5",1,2022-10-30
Samastipur,Poor,221,"PM
2.5",1,2022-10-31
Samastipur,Poor,204,"PM
2.5",1,2022-11-01
Samastipur,Moderate,140,"PM
2.5",1,2022-11-02
Samastipur,Poor,211,"PM
2.5",1,2022-11-03
Samastipur,Very Poor,311,"PM
2.5",1,2022-11-04
Samastipur,Very Poor,309,"PM
10",1,2022-11-05
Samastipur,Poor,272,"PM
10",1,2022-11-06
Samastipur,Poor,269,"PM
10",1,2022-11-07
Samastipur,Poor,283,"PM
10",1,2022-11-08
Samastipur,Very Poor,308,"PM
2.5",1,2022-11-09
Samastipur,Very Poor,312,"PM
2.5",1,2022-11-10
Samastipur,Very Poor,331,"PM
2.5",1,2022-11-11
Samastipur,Very Poor,348,"PM
2.5",1,2022-11-12
Samastipur,Very Poor,317,"PM
2.5",1,2022-11-13
Samastipur,Very Poor,337,"PM
2.5",1,2022-11-14
Samastipur,Very Poor,395,"PM
2.5",1,2022-11-15
Samastipur,Very Poor,344,"PM
2.5",1,2022-11-16
Samastipur,Very Poor,318,"PM
2.5",1,2022-11-17
Samastipur,Poor,262,"PM
2.5",1,2022-11-18
Samastipur,Very Poor,309,"PM
2.5",1,2022-11-19
Samastipur,Very Poor,357,"PM
2.5",1,2022-11-20
Samastipur,Very Poor,353,"PM
2.5",1,2022-11-21
Samastipur,Very Poor,305,"PM
2.5",1,2022-11-23
Samastipur,Very Poor,314,"PM
2.5",1,2022-11-24
Samastipur,Very Poor,349,"PM
2.5",1,2022-11-25
Samastipur,Very Poor,314,"PM
2.5",1,2022-11-26
Samastipur,Poor,246,"PM
10",1,2022-11-27
Samastipur,Very Poor,350,"PM
2.5",1,2022-11-29
Samastipur,Very Poor,330,"PM
2.5",1,2022-11-30
Samastipur,Very Poor,324,"PM
2.5",1,2022-12-01
Samastipur,Very Poor,305,"PM
2.5",1,2022-12-02
Samastipur,Very Poor,331,"PM
2.5",1,2022-12-03
Samastipur,Very Poor,345,"PM
2.5",1,2022-12-04
Samastipur,Very Poor,358,"PM
2.5",1,2022-12-05
Samastipur,Very Poor,317,"PM
2.5",1,2022-12-06
Samastipur,Very Poor,343,"PM
2.5",1,2022-12-07
Samastipur,Very Poor,348,"PM
2.5",1,2022-12-08
Samastipur,Very Poor,379,"PM
2.5",1,2022-12-09
Samastipur,Very Poor,391,"PM
2.5",1,2022-12-10
Samastipur,Very Poor,368,"PM
2.5",1,2022-12-11
Samastipur,Severe,437,"PM
10",1,2022-12-12
Samastipur,Severe,437,"PM
2.5",1,2022-12-13
Samastipur,Very Poor,381,"PM
2.5",1,2022-12-14
Samastipur,Very Poor,345,"PM
2.5",1,2022-12-15
Samastipur,Poor,280,"PM
2.5",1,2022-12-16
Samastipur,Very Poor,369,"PM
2.5",1,2022-12-17
Samastipur,Very Poor,399,"PM
2.5",1,2022-12-18
Samastipur,Very Poor,380,"PM
2.5",1,2022-12-19
Samastipur,Very Poor,393,"PM
2.5",1,2022-12-20
Samastipur,Severe,408,"PM
2.5",1,2022-12-21
Samastipur,Very Poor,342,"PM
2.5",1,2022-12-22
Samastipur,Very Poor,386,"PM
2.5",1,2022-12-23
Samastipur,Very Poor,355,"PM
2.5",1,2022-12-24
Samastipur,Very Poor,378,"PM
2.5",1,2022-12-25
Samastipur,Very Poor,387,"PM
2.5",1,2022-12-26
Samastipur,Very Poor,359,"PM
2.5",1,2022-12-27
Samastipur,Very Poor,336,"PM
2.5",1,2022-12-28
Samastipur,Very Poor,400,"PM
2.5",1,2022-12-29
Samastipur,Severe,424,"PM
2.5",1,2022-12-30
Samastipur,Severe,459,"PM
2.5",1,2022-12-31
Samastipur,Severe,459,"PM
2.5",1,2023-01-01
Samastipur,Very Poor,378,"PM
2.5",1,2023-01-02
Samastipur,Poor,234,"PM
2.5",1,2023-01-03
Samastipur,Very Poor,310,"PM
2.5",1,2023-01-04
Samastipur,Very Poor,323,"PM
2.5",1,2023-01-06
Samastipur,Very Poor,354,"PM
2.5",1,2023-01-07
Samastipur,Very Poor,354,"PM
2.5",1,2023-01-08
Samastipur,Very Poor,380,"PM
2.5",1,2023-01-09
Samastipur,Very Poor,364,"PM
2.5",1,2023-01-10
Samastipur,Very Poor,322,"PM
2.5",1,2023-01-11
Samastipur,Very Poor,398,"PM
2.5",1,2023-01-12
Samastipur,Very Poor,331,"PM
2.5",1,2023-01-13
Samastipur,Severe,418,"PM
2.5",1,2023-01-14
Samastipur,Very Poor,335,"PM
2.5",1,2023-01-15
Samastipur,Very Poor,339,"PM
2.5",1,2023-01-16
Samastipur,Very Poor,316,"PM
2.5",1,2023-01-17
Samastipur,Very Poor,349,"PM
2.5",1,2023-01-18
Samastipur,Very Poor,385,"PM
2.5",1,2023-01-19
Samastipur,Severe,407,"PM
2.5",1,2023-01-20
Samastipur,Severe,418,"PM
2.5",1,2023-01-21
Samastipur,Very Poor,368,"PM
2.5",1,2023-01-22
Samastipur,Very Poor,389,"PM
2.5",1,2023-01-23
Samastipur,Severe,420,"PM
10",1,2023-01-25
Samastipur,Very Poor,377,"PM
2.5",1,2023-01-26
Samastipur,Moderate,182,"PM
2.5",1,2023-01-27
Samastipur,Poor,207,"PM
2.5",1,2023-01-28
Samastipur,Very Poor,316,"PM
2.5",1,2023-01-29
Samastipur,Very Poor,310,"PM
2.5",1,2023-01-30
Samastipur,Poor,290,"PM
2.5",1,2023-01-31
Samastipur,Moderate,125,"PM
10",1,2023-02-01
Samastipur,Poor,224,"PM
2.5",1,2023-02-02
Samastipur,Poor,271,"PM
2.5",1,2023-02-03
Samastipur,Very Poor,312,"PM
2.5",1,2023-02-04
Samastipur,Poor,209,"PM
2.5",1,2023-02-05
Samastipur,Severe,405,"PM
2.5",1,2023-02-06
Samastipur,Poor,282,"PM
2.5",1,2023-02-07
Samastipur,Very Poor,306,"PM
10",1,2023-02-08
Samastipur,Poor,234,"PM
2.5",1,2023-02-09
Samastipur,Very Poor,303,"PM
10",1,2023-02-10
Samastipur,Very Poor,370,"PM
10",1,2023-02-11
Samastipur,Very Poor,327,"PM
10",1,2023-02-12
Samastipur,Poor,205,"PM
10",1,2023-02-13
Samastipur,Very Poor,320,"PM
10",1,2023-02-14
Samastipur,Poor,277,"PM
10",1,2023-02-15
Samastipur,Very Poor,367,"PM
10",1,2023-02-16
Samastipur,Very Poor,368,"PM
10",1,2023-02-17
Samastipur,Very Poor,364,"PM
10",1,2023-02-18
Samastipur,Very Poor,378,"PM
2.5",1,2023-02-19
