City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Chittorgarh,Moderate,198,"O
3",1,2023-03-14
Chittorgarh,Moderate,166,"PM
2.5",1,2023-03-15
Chittorgarh,Moderate,122,"PM
10",1,2023-03-16
Chittorgarh,Moderate,162,"O
3",1,2023-03-17
Chittorgarh,Satisfactory,77,"PM
10",1,2023-03-18
Chittorgarh,Satisfactory,92,"PM
10",1,2023-03-19
Chittorgarh,Moderate,160,"O
3",1,2023-03-22
Chittorgarh,Satisfactory,77,"O
3",1,2023-03-23
Chittorgarh,Satisfactory,77,"O
3",1,2023-03-24
Chittorgarh,Satisfactory,90,"O
3",1,2023-03-25
Chittorgarh,Moderate,160,"O
3",1,2023-03-26
Chittorgarh,Moderate,171,"O
3",1,2023-03-27
Chittorgarh,Moderate,176,"O
3",1,2023-03-28
Chittorgarh,Poor,209,"O
3",1,2023-03-29
Chittorgarh,Moderate,131,"PM
10",1,2023-03-30
Chittorgarh,Satisfactory,72,"O
3",1,2023-03-31
Chittorgarh,Satisfactory,81,"O
3",1,2023-04-01
Chittorgarh,Moderate,132,"PM
2.5",1,2023-04-02
Chittorgarh,Moderate,169,"PM
2.5",1,2023-04-03
Chittorgarh,Moderate,149,"PM
2.5",1,2023-04-04
Chittorgarh,Poor,209,"PM
2.5",1,2023-04-05
Chittorgarh,Poor,272,"PM
2.5",1,2023-04-06
Chittorgarh,Poor,273,"PM
2.5",1,2023-04-07
Chittorgarh,Moderate,195,"PM
2.5",1,2023-04-08
Chittorgarh,Moderate,145,"PM
2.5",1,2023-04-09
Chittorgarh,Poor,253,"PM
2.5",1,2023-04-10
Chittorgarh,Poor,249,"PM
2.5",1,2023-04-11
Chittorgarh,Moderate,167,"PM
2.5",1,2023-04-12
Chittorgarh,Moderate,121,"PM
2.5",1,2023-04-13
Chittorgarh,Moderate,116,"PM
10",1,2023-04-22
Chittorgarh,Moderate,121,"PM
10",1,2023-04-23
Chittorgarh,Moderate,161,"O
3",1,2023-04-24
Chittorgarh,Moderate,184,"O
3",1,2023-04-25
Chittorgarh,Moderate,182,"O
3",1,2023-04-26
Chittorgarh,Moderate,116,"O
3",1,2023-04-27
Chittorgarh,Satisfactory,80,"PM
10",1,2023-04-28
Chittorgarh,Satisfactory,59,"PM
10",1,2023-04-29
Chittorgarh,Satisfactory,64,"O
3",1,2023-04-30
Chittorgarh,Satisfactory,72,"O
3",1,2023-05-01
Chittorgarh,Satisfactory,89,"O
3",1,2023-05-02
Chittorgarh,Satisfactory,86,"O
3",1,2023-05-03
Chittorgarh,Moderate,108,"O
3",1,2023-05-04
Chittorgarh,Moderate,163,"O
3",1,2023-05-05
Chittorgarh,Moderate,112,"O
3",1,2023-05-06
Chittorgarh,Satisfactory,85,"O
3",1,2023-05-07
Chittorgarh,Satisfactory,95,"O
3",1,2023-05-08
Chittorgarh,Moderate,106,"PM
10",1,2023-05-09
Chittorgarh,Moderate,126,"PM
10",1,2023-05-10
Chittorgarh,Moderate,132,"PM
10",1,2023-05-11
Chittorgarh,Moderate,128,"PM
10",1,2023-05-12
Chittorgarh,Moderate,151,"O
3",1,2023-05-13
Chittorgarh,Satisfactory,95,"O
3",1,2023-05-14
Chittorgarh,Satisfactory,83,"PM
10",1,2023-05-15
Chittorgarh,Moderate,122,"PM
10",1,2023-05-16
Chittorgarh,Satisfactory,80,"PM
10",1,2023-05-18
Chittorgarh,Satisfactory,76,"PM
10",1,2023-05-19
Chittorgarh,Moderate,107,"PM
10",1,2023-05-20
Chittorgarh,Satisfactory,86,"PM
10",1,2023-05-21
Chittorgarh,Satisfactory,78,"PM
10",1,2023-05-22
Chittorgarh,Satisfactory,83,"O
3",1,2023-05-23
Chittorgarh,Moderate,109,"PM
10",1,2023-05-25
Chittorgarh,Moderate,156,"PM
10",1,2023-05-26
Chittorgarh,Satisfactory,93,"PM
10",1,2023-05-27
Chittorgarh,Satisfactory,87,"PM
10",1,2023-05-28
Chittorgarh,Satisfactory,78,"O
3",1,2023-05-29
Chittorgarh,Satisfactory,94,"O
3",1,2023-05-30
Chittorgarh,Satisfactory,90,"O
3",1,2023-05-31
Chittorgarh,Satisfactory,86,"PM
10",1,2023-06-01
Chittorgarh,Satisfactory,90,"PM
10",1,2023-06-03
Chittorgarh,Satisfactory,91,"O
3",1,2023-06-04
Chittorgarh,Moderate,121,CO,1,2023-06-05
Chittorgarh,Satisfactory,94,"O
3",1,2023-06-06
Chittorgarh,Moderate,120,"PM
2.5",1,2023-06-07
Chittorgarh,Moderate,143,"PM
2.5",1,2023-06-08
Chittorgarh,Moderate,121,"PM
2.5",1,2023-06-09
Chittorgarh,Satisfactory,57,"O
3",1,2023-06-11
Chittorgarh,Satisfactory,60,"O
3",1,2023-06-12
Chittorgarh,Satisfactory,86,"PM
2.5",1,2023-06-14
Chittorgarh,Satisfactory,73,"PM
10",1,2023-06-15
Chittorgarh,Satisfactory,71,"PM
10",1,2023-06-16
Chittorgarh,Satisfactory,70,"PM
2.5",1,2023-06-17
Chittorgarh,Good,31,"PM
10",1,2023-06-19
Chittorgarh,Good,50,"PM
10",1,2023-06-20
Chittorgarh,Satisfactory,88,"PM
10",1,2023-06-22
Chittorgarh,Satisfactory,86,"PM
10",1,2023-06-23
Chittorgarh,Satisfactory,77,"PM
10",1,2023-06-24
Chittorgarh,Satisfactory,72,"PM
2.5",1,2023-06-25
Chittorgarh,Good,45,"PM
10",1,2023-06-27
Chittorgarh,Satisfactory,62,"O
3",1,2023-06-28
Chittorgarh,Good,48,CO,1,2023-07-01
Chittorgarh,Good,40,"PM
10",1,2023-07-02
Chittorgarh,Satisfactory,62,"PM
2.5",1,2023-07-03
Chittorgarh,Satisfactory,63,"PM
10",1,2023-07-04
Chittorgarh,Satisfactory,72,"PM
10",1,2023-07-05
Chittorgarh,Satisfactory,56,"O
3",1,2023-07-07
Chittorgarh,Good,43,CO,1,2023-07-08
Chittorgarh,Satisfactory,63,"PM
10",1,2023-07-11
Chittorgarh,Satisfactory,72,"PM
10",1,2023-07-12
Chittorgarh,Satisfactory,79,"PM
10",1,2023-07-13
Chittorgarh,Satisfactory,63,"PM
10",1,2023-07-15
Chittorgarh,Satisfactory,69,"PM
10",1,2023-07-16
Chittorgarh,Satisfactory,62,"PM
10",1,2023-07-17
Chittorgarh,Satisfactory,66,"PM
10",1,2023-07-18
Chittorgarh,Satisfactory,66,"PM
10",1,2023-07-20
Chittorgarh,Satisfactory,58,"PM
10",1,2023-07-22
Chittorgarh,Satisfactory,74,"PM
10",1,2023-07-24
Chittorgarh,Satisfactory,53,"PM
10",1,2023-07-25
Chittorgarh,Satisfactory,82,"PM
10",1,2023-07-26
Chittorgarh,Satisfactory,56,"PM
10",1,2023-07-27
Chittorgarh,Good,43,CO,1,2023-07-28
Chittorgarh,Good,45,"PM
10",1,2023-07-30
Chittorgarh,Satisfactory,60,"PM
10",1,2023-07-31
Chittorgarh,Satisfactory,72,"PM
10",1,2023-08-02
Chittorgarh,Satisfactory,94,"PM
10",1,2023-08-03
Chittorgarh,Satisfactory,91,"PM
10",1,2023-08-04
Chittorgarh,Satisfactory,96,"PM
10",1,2023-08-05
Chittorgarh,Satisfactory,95,"PM
10",1,2023-08-07
Chittorgarh,Satisfactory,76,"PM
10",1,2023-08-08
Chittorgarh,Satisfactory,91,"PM
10",1,2023-08-09
Chittorgarh,Satisfactory,80,"PM
10",1,2023-08-10
Chittorgarh,Satisfactory,73,"PM
10",1,2023-08-11
Chittorgarh,Satisfactory,71,"PM
10",1,2023-08-12
Chittorgarh,Satisfactory,67,"PM
10",1,2023-08-13
Chittorgarh,Satisfactory,79,"PM
10",1,2023-08-14
Chittorgarh,Moderate,107,"PM
10",1,2023-08-16
Chittorgarh,Satisfactory,100,"PM
10",1,2023-08-17
Chittorgarh,Moderate,114,"PM
10",1,2023-08-18
Chittorgarh,Moderate,135,"PM
10",1,2023-08-19
Chittorgarh,Satisfactory,72,"PM
10",1,2023-08-20
Chittorgarh,Good,45,"PM
10",1,2023-08-21
Chittorgarh,Satisfactory,66,"PM
10",1,2023-08-22
Chittorgarh,Satisfactory,81,"PM
10",1,2023-08-23
Chittorgarh,Satisfactory,88,"PM
10",1,2023-08-24
Chittorgarh,Moderate,107,"PM
10",1,2023-08-25
Chittorgarh,Moderate,102,"PM
10",1,2023-08-26
Chittorgarh,Moderate,116,"PM
10",1,2023-08-27
Chittorgarh,Moderate,146,"PM
10",1,2023-08-28
Chittorgarh,Moderate,112,"PM
10",1,2023-08-29
Chittorgarh,Moderate,109,"PM
10",1,2023-08-30
Chittorgarh,Moderate,109,"PM
10",1,2023-09-02
Chittorgarh,Satisfactory,94,"PM
10",1,2023-09-03
Chittorgarh,Satisfactory,83,"PM
10",1,2023-09-04
Chittorgarh,Satisfactory,81,"PM
10",1,2023-09-05
Chittorgarh,Satisfactory,70,"PM
10",1,2023-09-06
Chittorgarh,Satisfactory,62,"PM
10",1,2023-09-07
Chittorgarh,Satisfactory,60,"PM
2.5",1,2023-09-08
Chittorgarh,Satisfactory,62,"PM
10",1,2023-09-09
Chittorgarh,Satisfactory,70,"PM
10",1,2023-09-10
Chittorgarh,Satisfactory,97,"PM
10",1,2023-09-11
Chittorgarh,Satisfactory,89,"PM
10",1,2023-09-12
Chittorgarh,Moderate,114,"PM
10",1,2023-09-13
Chittorgarh,Satisfactory,61,"PM
2.5",1,2023-09-14
Chittorgarh,Moderate,139,"PM
2.5",1,2023-09-15
Chittorgarh,Satisfactory,93,"PM
2.5",1,2023-09-16
Chittorgarh,Satisfactory,64,"PM
2.5",1,2023-09-17
Chittorgarh,Satisfactory,55,"PM
2.5",1,2023-09-18
Chittorgarh,Good,48,"PM
10",1,2023-09-19
Chittorgarh,Satisfactory,71,"PM
10",1,2023-09-20
