City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Kozhikode,Satisfactory,82,"PM
10",1,2020-02-05
Kozhikode,Satisfactory,99,"PM
2.5",1,2020-02-06
Kozhikode,Satisfactory,75,"PM
10",1,2020-02-07
Kozhikode,Satisfactory,74,CO,1,2020-02-08
Kozhikode,Satisfactory,59,"PM
10",1,2020-02-09
Kozhikode,Satisfactory,79,CO,1,2020-02-10
Kozhikode,Satisfactory,67,CO,1,2020-02-11
Kozhikode,Satisfactory,80,"PM
10",1,2020-02-12
Kozhikode,Satisfactory,76,"PM
10",1,2020-02-13
Kozhikode,Satisfactory,84,"PM
10",1,2020-02-14
Kozhikode,Satisfactory,90,"PM
10",1,2020-02-15
Kozhikode,Satisfactory,93,"PM
10",1,2020-02-16
Kozhikode,Moderate,107,"PM
2.5",1,2020-02-17
Kozhikode,Moderate,104,"PM
2.5",1,2020-02-18
Kozhikode,Satisfactory,90,"PM
10",1,2020-02-19
Kozhikode,Moderate,123,"PM
2.5",1,2020-02-20
Kozhikode,Moderate,102,"PM
10",1,2020-02-21
Kozhikode,Satisfactory,97,"PM
10",1,2020-02-22
Kozhikode,Satisfactory,87,"PM
10",1,2020-02-23
Kozhikode,Satisfactory,91,"PM
10",1,2020-02-24
Kozhikode,Satisfactory,83,"PM
10",1,2020-02-25
Kozhikode,Satisfactory,80,"PM
10",1,2020-02-26
Kozhikode,Satisfactory,66,"PM
10",1,2020-02-27
Kozhikode,Satisfactory,75,"PM
2.5",1,2020-02-28
Kozhikode,Satisfactory,77,"PM
10",1,2020-02-29
Kozhikode,Satisfactory,61,"PM
10",1,2020-03-01
Kozhikode,Satisfactory,67,"PM
10",1,2020-03-02
Kozhikode,Satisfactory,80,CO,1,2020-03-03
Kozhikode,Satisfactory,64,"PM
10",1,2020-03-04
Kozhikode,Satisfactory,64,"PM
10",1,2020-03-05
Kozhikode,Satisfactory,51,"PM
10",1,2020-03-06
Kozhikode,Satisfactory,66,CO,1,2020-03-07
Kozhikode,Satisfactory,52,"PM
10",1,2020-03-08
Kozhikode,Satisfactory,64,CO,1,2020-03-09
Kozhikode,Satisfactory,58,"PM
10",1,2020-03-10
Kozhikode,Satisfactory,64,"PM
10",1,2020-03-11
Kozhikode,Good,49,"PM
10",1,2020-03-12
Kozhikode,Satisfactory,52,"PM
10",1,2020-03-13
Kozhikode,Satisfactory,60,"PM
10",1,2020-03-14
Kozhikode,Satisfactory,59,"PM
10",1,2020-03-15
Kozhikode,Satisfactory,62,"PM
10",1,2020-03-16
Kozhikode,Satisfactory,66,"PM
10",1,2020-03-17
Kozhikode,Satisfactory,70,"PM
10",1,2020-03-18
Kozhikode,Satisfactory,64,"PM
10",1,2020-03-19
Kozhikode,Satisfactory,60,"PM
10",1,2020-03-20
Kozhikode,Satisfactory,54,CO,1,2020-03-21
Kozhikode,Good,42,"PM
10",1,2020-03-22
Kozhikode,Good,48,"PM
10",1,2020-03-23
Kozhikode,Good,48,"PM
10",1,2020-03-25
Kozhikode,Good,47,"PM
2.5",1,2020-03-26
Kozhikode,Good,49,"PM
10",1,2020-03-27
Kozhikode,Satisfactory,55,"PM
2.5",1,2020-03-28
Kozhikode,Satisfactory,53,"PM
2.5",1,2020-03-29
Kozhikode,Satisfactory,52,"PM
2.5",1,2020-03-30
Kozhikode,Satisfactory,53,"PM
2.5",1,2020-03-31
Kozhikode,Satisfactory,52,"PM
2.5",1,2020-04-01
Kozhikode,Good,49,"PM
2.5",1,2020-04-02
Kozhikode,Satisfactory,54,"PM
2.5",1,2020-04-03
Kozhikode,Good,41,"PM
2.5",1,2020-04-04
Kozhikode,Good,46,"PM
2.5",1,2020-04-05
Kozhikode,Good,41,CO,1,2020-04-06
Kozhikode,Good,34,"PM
2.5",1,2020-04-07
Kozhikode,Good,48,"PM
10",1,2020-04-08
Kozhikode,Good,50,"PM
10",1,2020-04-09
Kozhikode,Good,46,CO,1,2020-04-10
Kozhikode,Satisfactory,53,"PM
2.5",1,2020-04-11
Kozhikode,Good,47,"PM
2.5",1,2020-04-12
Kozhikode,Good,47,"PM
2.5",1,2020-04-13
Kozhikode,Satisfactory,58,"PM
2.5",1,2020-04-14
Kozhikode,Satisfactory,52,"PM
10",1,2020-04-15
Kozhikode,Good,42,"PM
2.5",1,2020-04-16
Kozhikode,Good,50,"PM
2.5",1,2020-04-17
Kozhikode,Good,47,"PM
2.5",1,2020-04-18
Kozhikode,Good,46,"PM
2.5",1,2020-04-19
Kozhikode,Satisfactory,55,"PM
2.5",1,2020-04-20
Kozhikode,Good,42,"PM
2.5",1,2020-04-21
Kozhikode,Good,45,"PM
10",1,2020-04-22
Kozhikode,Good,34,"PM
2.5",1,2020-04-23
Kozhikode,Good,43,"PM
2.5",1,2020-04-24
Kozhikode,Satisfactory,52,"PM
10",1,2020-04-25
Kozhikode,Good,46,"PM
10",1,2020-04-26
Kozhikode,Good,34,"PM
2.5",1,2020-04-27
Kozhikode,Good,49,"PM
10",1,2020-04-28
Kozhikode,Good,33,"PM
10",1,2020-04-29
Kozhikode,Good,50,"PM
2.5",1,2020-04-30
