City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Koppal,Moderate,112,"PM
2.5",1,2020-12-20
Koppal,Satisfactory,90,"PM
10",1,2020-12-21
Koppal,Satisfactory,98,"PM
10",1,2020-12-22
Koppal,Satisfactory,88,"PM
10",1,2020-12-23
Koppal,Satisfactory,91,"PM
10",1,2020-12-24
Koppal,Satisfactory,95,"PM
2.5",1,2020-12-25
Koppal,Satisfactory,96,"PM
10",1,2020-12-26
Koppal,Moderate,107,"PM
10",1,2020-12-27
Koppal,Moderate,107,"PM
10",1,2020-12-28
Koppal,Satisfactory,94,"PM
10",1,2020-12-29
Koppal,Moderate,103,"PM
10",1,2020-12-30
Koppal,Satisfactory,73,"PM
10",1,2020-12-31
Koppal,Satisfactory,79,"PM
10",1,2021-01-01
Koppal,Satisfactory,89,"PM
10",1,2021-01-02
Koppal,Satisfactory,80,"PM
10",1,2021-01-03
Koppal,Satisfactory,61,"PM
10",1,2021-01-04
Koppal,Satisfactory,65,"PM
10",1,2021-01-05
Koppal,Good,46,"PM
10",1,2021-01-06
Koppal,Good,23,"PM
10",1,2021-01-07
Koppal,Good,44,"PM
10",1,2021-01-08
Koppal,Good,37,"PM
10",1,2021-01-09
Koppal,Satisfactory,59,"PM
10",1,2021-01-10
Koppal,Satisfactory,54,"PM
10",1,2021-01-11
Koppal,Satisfactory,65,"PM
10",1,2021-01-12
Koppal,Satisfactory,90,"PM
10",1,2021-01-13
Koppal,Satisfactory,72,"PM
10",1,2021-01-14
Koppal,Moderate,106,"PM
10",1,2021-01-15
Koppal,Moderate,116,"PM
10",1,2021-01-16
Koppal,Satisfactory,96,"PM
10",1,2021-01-17
Koppal,Satisfactory,87,"PM
10",1,2021-01-18
Koppal,Satisfactory,78,"PM
2.5",1,2021-01-19
Koppal,Satisfactory,88,"PM
2.5",1,2021-01-20
Koppal,Satisfactory,78,"PM
2.5",1,2021-01-21
Koppal,Satisfactory,100,"PM
2.5",1,2021-01-22
Koppal,Satisfactory,73,"PM
10",1,2021-01-27
Koppal,Satisfactory,98,"PM
2.5",1,2021-01-28
Koppal,Satisfactory,97,"PM
2.5",1,2021-01-29
Koppal,Satisfactory,75,"PM
2.5",1,2021-01-30
Koppal,Satisfactory,89,"PM
10",1,2021-01-31
Koppal,Satisfactory,82,"PM
10",1,2021-02-01
Koppal,Satisfactory,90,"PM
2.5",1,2021-02-02
Koppal,Satisfactory,84,"PM
2.5",1,2021-02-03
Koppal,Satisfactory,75,"PM
10",1,2021-02-04
Koppal,Moderate,101,"PM
10",1,2021-02-05
Koppal,Satisfactory,94,"PM
10",1,2021-02-06
Koppal,Satisfactory,78,"PM
10",1,2021-02-07
Koppal,Satisfactory,79,"O
3",1,2021-02-08
Koppal,Satisfactory,84,"PM
10",1,2021-02-09
Koppal,Satisfactory,91,"O
3",1,2021-02-10
Koppal,Satisfactory,99,"PM
10",1,2021-02-11
Koppal,Satisfactory,96,"PM
10",1,2021-02-12
Koppal,Satisfactory,97,"PM
10",1,2021-02-13
Koppal,Satisfactory,80,"PM
10",1,2021-02-14
Koppal,Satisfactory,74,"PM
10",1,2021-02-15
Koppal,Satisfactory,94,"PM
10",1,2021-02-16
