City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Karnal,Moderate,104,"PM
10",1,2019-01-28
Karnal,Moderate,126,"PM
10",1,2019-01-29
Karnal,Moderate,131,"PM
10",1,2019-01-30
Karnal,Poor,247,"PM
2.5",1,2019-01-31
Karnal,Poor,210,"PM
2.5",1,2019-02-01
Karnal,Moderate,183,"PM
2.5",1,2019-02-02
Karnal,Moderate,117,"PM
2.5",1,2019-02-03
Karnal,Moderate,139,"PM
2.5",1,2019-02-04
Karnal,Moderate,176,"PM
2.5",1,2019-02-05
Karnal,Poor,287,"PM
2.5",1,2019-02-06
Karnal,Moderate,194,"PM
2.5",1,2019-02-07
Karnal,Satisfactory,76,"PM
10",1,2019-02-08
Karnal,Satisfactory,92,"PM
10",1,2019-02-09
Karnal,Moderate,103,"PM
10",1,2019-02-10
Karnal,Poor,252,"PM
2.5",1,2019-02-12
Karnal,Poor,217,"PM
2.5",1,2019-02-13
Karnal,Poor,288,"PM
2.5",1,2019-02-14
Karnal,Satisfactory,83,"PM
2.5",1,2019-02-15
Karnal,Moderate,145,"PM
2.5",1,2019-02-16
Karnal,Satisfactory,85,"PM
10",1,2019-02-17
Karnal,Moderate,107,"PM
10",1,2019-02-18
Karnal,Satisfactory,89,"PM
10",1,2019-02-19
Karnal,Moderate,190,"PM
2.5",1,2019-02-20
Karnal,Satisfactory,73,"PM
10",1,2019-02-21
Karnal,Moderate,125,"PM
10",1,2019-02-22
Karnal,Satisfactory,76,"PM
10",1,2019-02-23
Karnal,Satisfactory,81,"PM
10",1,2019-02-24
Karnal,Moderate,122,"PM
2.5",1,2019-02-25
Karnal,Moderate,139,"PM
10",1,2019-02-26
Karnal,Satisfactory,57,"PM
10",1,2019-02-27
Karnal,Moderate,109,"PM
10",1,2019-02-28
Karnal,Moderate,111,"PM
10",1,2019-03-01
Karnal,Moderate,152,"PM
10",1,2019-03-02
Karnal,Satisfactory,99,"PM
2.5",1,2019-03-03
Karnal,Satisfactory,98,"PM
10",1,2019-03-04
Karnal,Satisfactory,75,"PM
10",1,2019-03-05
Karnal,Satisfactory,85,"PM
10",1,2019-03-06
Karnal,Satisfactory,98,"PM
10",1,2019-03-07
Karnal,Moderate,117,"PM
10",1,2019-03-08
Karnal,Moderate,121,"PM
10",1,2019-03-09
Karnal,Satisfactory,90,"PM
10",1,2019-03-10
Karnal,Moderate,147,"PM
10",1,2019-03-11
Karnal,Moderate,106,"PM
10",1,2019-03-12
Karnal,Moderate,165,"PM
10",1,2019-03-13
Karnal,Moderate,166,"PM
10",1,2019-03-14
Karnal,Satisfactory,80,"PM
10",1,2019-03-15
Karnal,Satisfactory,87,"PM
10",1,2019-03-16
Karnal,Satisfactory,99,"PM
10",1,2019-03-17
Karnal,Moderate,109,"PM
10",1,2019-03-18
Karnal,Moderate,122,"PM
10",1,2019-03-19
Karnal,Moderate,179,"PM
10",1,2019-03-20
Karnal,Moderate,131,"PM
10",1,2019-03-21
Karnal,Moderate,103,"PM
10",1,2019-03-22
Karnal,Moderate,111,"PM
10",1,2019-03-23
Karnal,Moderate,104,"PM
10",1,2019-03-24
Karnal,Moderate,113,"PM
10",1,2019-03-25
Karnal,Moderate,119,"PM
10",1,2019-03-26
Karnal,Moderate,114,"PM
10",1,2019-03-27
Karnal,Moderate,115,"PM
10",1,2019-03-28
Karnal,Moderate,136,"PM
10",1,2019-03-29
Karnal,Moderate,144,"PM
10",1,2019-03-30
Karnal,Moderate,153,"PM
10",1,2019-03-31
Karnal,Moderate,128,"PM
10",1,2019-04-01
Karnal,Moderate,150,"PM
10",1,2019-04-02
Karnal,Moderate,117,"PM
10",1,2019-04-03
Karnal,Moderate,168,"PM
10",1,2019-04-04
Karnal,Moderate,192,"PM
2.5",1,2019-04-05
Karnal,Poor,208,"PM
2.5",1,2019-04-06
Karnal,Very Poor,362,"PM
2.5",1,2019-04-08
Karnal,Moderate,152,"PM
10",1,2019-04-09
Karnal,Moderate,145,"PM
2.5",1,2019-04-10
Karnal,Moderate,182,"PM
10",1,2019-04-11
Karnal,Poor,212,"PM
10",1,2019-04-12
Karnal,Moderate,178,"PM
10",1,2019-04-13
