City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Aizawl,Satisfactory,69,"PM
2.5",1,2020-03-19
Aizawl,Satisfactory,67,"PM
2.5",1,2020-03-20
Aizawl,Satisfactory,71,"PM
2.5",1,2020-03-22
Aizawl,Good,50,"PM
2.5",1,2020-03-23
Aizawl,Satisfactory,69,"PM
2.5",1,2020-03-24
Aizawl,Moderate,108,"PM
2.5",1,2020-03-25
Aizawl,Satisfactory,92,"PM
2.5",1,2020-03-26
Aizawl,Satisfactory,75,"PM
2.5",1,2020-03-27
Aizawl,Satisfactory,81,"PM
2.5",1,2020-03-28
Aizawl,Satisfactory,89,"PM
2.5",1,2020-03-29
Aizawl,Satisfactory,56,"PM
2.5",1,2020-03-30
Aizawl,Satisfactory,53,"PM
2.5",1,2020-03-31
Aizawl,Satisfactory,68,"PM
2.5",1,2020-04-01
Aizawl,Satisfactory,70,"PM
2.5",1,2020-04-02
Aizawl,Satisfactory,55,"PM
2.5",1,2020-04-03
Aizawl,Good,41,"PM
2.5",1,2020-04-04
Aizawl,Good,43,"PM
2.5",1,2020-04-05
Aizawl,Good,50,"PM
2.5",1,2020-04-06
Aizawl,Good,44,"PM
2.5",1,2020-04-08
Aizawl,Satisfactory,53,"PM
2.5",1,2020-04-11
Aizawl,Good,39,"PM
2.5",1,2020-04-12
Aizawl,Good,43,"PM
2.5",1,2020-04-13
Aizawl,Satisfactory,63,"PM
2.5",1,2020-04-14
Aizawl,Satisfactory,77,"PM
2.5",1,2020-04-15
Aizawl,Good,40,"PM
2.5",1,2020-04-16
Aizawl,Good,28,"PM
2.5",1,2020-04-17
Aizawl,Good,38,"PM
2.5",1,2020-04-18
Aizawl,Good,18,"PM
2.5",1,2020-04-19
Aizawl,Good,18,"O
3",1,2020-04-20
Aizawl,Good,24,"PM
10",1,2020-04-21
Aizawl,Good,18,"PM
2.5",1,2020-04-23
Aizawl,Good,13,"PM
10",1,2020-04-24
Aizawl,Good,11,CO,1,2020-04-25
Aizawl,Good,9,"SO
2",1,2020-04-26
Aizawl,Good,13,CO,1,2020-04-27
Aizawl,Good,14,CO,1,2020-04-28
Aizawl,Good,15,CO,1,2020-05-01
Aizawl,Good,18,"PM
2.5",1,2020-05-02
Aizawl,Good,10,CO,1,2020-05-03
Aizawl,Good,13,CO,1,2020-05-04
Aizawl,Good,15,"PM
2.5",1,2020-05-05
Aizawl,Good,14,"PM
2.5",1,2020-05-06
Aizawl,Good,13,CO,1,2020-05-07
Aizawl,Good,19,"PM
2.5",1,2020-05-08
Aizawl,Good,22,"PM
2.5",1,2020-05-09
